"block_size_mode","loading_design","method","H_true","G_true","n","p","n_reps","mean_alpha_rmse","sd_alpha_rmse","lower_alpha_rmse","upper_alpha_rmse","mean_lambda_rmse","sd_lambda_rmse","lower_lambda_rmse","upper_lambda_rmse","mean_joint_mu_rmse","sd_joint_mu_rmse","lower_joint_mu_rmse","upper_joint_mu_rmse","mean_joint_var_rmse","sd_joint_var_rmse","lower_joint_var_rmse","upper_joint_var_rmse","mean_joint_weight_rmse","sd_joint_weight_rmse","lower_joint_weight_rmse","upper_joint_weight_rmse","mean_factor_score_rmse","sd_factor_score_rmse","lower_factor_score_rmse","upper_factor_score_rmse"
"moderate_ifeval_like","balanced_moderate_few_positive_cross","independent_marginal_mixture",3,"2-2-2",1000,250,25,0.0785407787883449,0.0105397028924965,0.057461373003352,0.0996201845733379,0.0628302884358488,0.00483166622201146,0.0531669559918258,0.0724936208798717,0.0569909671808817,0.0136381234751592,0.0297147202305633,0.0842672141312001,0.0734757673080075,0.00794418168688076,0.057587403934246,0.089364130681769,0.00960887330411865,0.00377850289241405,0.00205186751929055,0.0171658790889468,0.189194542984572,0.0046701896970416,0.179854163590488,0.198534922378655
"moderate_ifeval_like","balanced_moderate_few_positive_cross","independent_marginal_mixture",3,"2-2-2",1000,500,25,0.0756828293993644,0.00937349135656887,0.0569358466862267,0.0944298121125022,0.0612281048582601,0.00249779633619705,0.056232512185866,0.0662236975306542,0.0373548968532566,0.0154666524898074,0.00642159187364181,0.0682882018328714,0.0378253783206397,0.00934604924121757,0.0191332798382046,0.0565174768030749,0.00719029363236777,0.00381634943200508,-0.000442405231642387,0.0148229924963779,0.138798437485847,0.00262111682802804,0.133556203829791,0.144040671141903
"moderate_ifeval_like","balanced_moderate_few_positive_cross","independent_marginal_mixture",3,"2-2-2",1000,1000,25,0.0741647923395935,0.00886799636063831,0.0564287996183169,0.0919007850608702,0.0606207671206771,0.0014442080877019,0.0577323509452733,0.0635091832960809,0.0293920431316562,0.0129834698446085,0.00342510344243912,0.0553589828208733,0.0210507327878192,0.00536064409261538,0.0103294446025884,0.03177202097305,0.00650204715131288,0.00315211280046178,0.000197821550389321,0.0128062727522364,0.103824313569449,0.00213924201644236,0.0995458295365644,0.108102797602334
"moderate_ifeval_like","balanced_moderate_few_positive_cross","independent_marginal_mixture",3,"2-2-2",1000,2000,25,0.0723149869502787,0.00616009429606834,0.059994798358142,0.0846351755424154,0.0606301644696866,0.00167074217283904,0.0572886801240085,0.0639716488153647,0.0286150249433802,0.0120961461658153,0.00442273261174957,0.0528073172750108,0.0166596167161968,0.00620344811163028,0.00425272049293621,0.0290665129394573,0.00653633701634774,0.00304950228140919,0.000437332453529351,0.0126353415791661,0.077449153621817,0.00273110910296949,0.071986935415878,0.082911371827756
"moderate_ifeval_like","balanced_moderate_few_positive_cross","joint_mixture_factor_gibbs",3,"2-2-2",1000,250,25,0.0779630298738294,0.00871594461541937,0.0605311406429907,0.0953949191046681,0.119451548859946,0.0570154806893344,0.00542058748127694,0.233482510238614,0.720857884400337,0.90193900790442,-1.0830201314085,2.52473590020918,0.531992282395243,0.238372897448885,0.0552464874974716,1.00873807729301,0.0940173965958173,0.0229048509050279,0.0482076947857615,0.139827098405873,0.286569530269681,0.11231136486307,0.0619468005435409,0.511192259995822
"moderate_ifeval_like","balanced_moderate_few_positive_cross","joint_mixture_factor_gibbs",3,"2-2-2",1000,500,25,0.07627670324744,0.00998609511145411,0.0563045130245318,0.0962488934703483,0.102929652450862,0.0655974368865692,-0.0282652213222763,0.234124526224001,0.528457452499782,0.204418314429695,0.119620823640392,0.937294081359172,0.463921271745888,0.151455695498604,0.161009880748681,0.766832662743096,0.08569857881616,0.0263897066805916,0.0329191654549768,0.138477992177343,0.223511367358423,0.136630295083972,-0.0497492228095213,0.496771957526367
"moderate_ifeval_like","balanced_moderate_few_positive_cross","independent_marginal_mixture",3,"2-2-2",2000,250,25,0.0562015238894539,0.00633662868943913,0.0435282665105756,0.0688747812683321,0.0448001104651902,0.00190308284635849,0.0409939447724732,0.0486062761579071,0.0520274383934728,0.00898496184625129,0.0340575147009702,0.0699973620859754,0.0751616540624257,0.00866479742896096,0.0578320592045037,0.0924912489203476,0.00753547798819787,0.00277138004382499,0.00199271790054788,0.0130782380758479,0.197448575870401,0.00321508108369692,0.191018413703007,0.203878738037795
"moderate_ifeval_like","balanced_moderate_few_positive_cross","independent_marginal_mixture",3,"2-2-2",2000,500,25,0.0531300547734471,0.00589762858579308,0.0413347976018609,0.0649253119450332,0.0428368818947033,0.00151358612463435,0.0398097096454346,0.045864054143972,0.0302942959020943,0.008836602814708,0.0126210902726783,0.0479675015315103,0.0351347109872625,0.00538042063455946,0.0243738697181436,0.0458955522563814,0.00543175931252114,0.00235481641903837,0.000722126474444404,0.0101413921505979,0.138919796718611,0.00189797378172081,0.135123849155169,0.142715744282053
"moderate_ifeval_like","balanced_moderate_few_positive_cross","independent_marginal_mixture",3,"2-2-2",2000,1000,25,0.0524206929756229,0.00711322038167291,0.0381942522122771,0.0666471337389687,0.0425478645332907,0.00143940458176749,0.0396690553697557,0.0454266736968257,0.0229975916312624,0.00897494099356454,0.00504770964413331,0.0409474736183914,0.0196911748963952,0.004790189941228,0.0101107950139392,0.0292715547788512,0.00494362453917033,0.00224222145691982,0.00045918162533069,0.00942806745300997,0.103176255269944,0.00150240470719069,0.100171445855563,0.106181064684325
"moderate_ifeval_like","balanced_moderate_few_positive_cross","independent_marginal_mixture",3,"2-2-2",2000,2000,25,0.0491738531434221,0.00322370586004968,0.0427264414233227,0.0556212648635215,0.0420006442559311,0.000839412416215316,0.0403218194235005,0.0436794690883617,0.0209492444409726,0.00750190480847905,0.00594543482401455,0.0359530540579307,0.013376841192248,0.00475652254103911,0.00386379611016973,0.0228898862743262,0.0047528345034044,0.00184829315854845,0.00105624818630749,0.00844942082050131,0.0756115453531318,0.0010914506491997,0.0734286440547324,0.0777944466515312
