"scenario","method","H","G","p","factor_score_rmse","probability_rmse","lambda_rmse","alpha_rmse","marginal_mu_rmse","marginal_var_rmse","marginal_weight_rmse","seconds"
"asymmetric_pi","independent_marginal_mixture",10,3,500,0.187840866601824,0.124766664458764,0.202215435726214,0.330863012273638,0.119964563044345,0.026354441631555,0.0521637707393876,7.4834
"moderate_overlap","independent_marginal_mixture",10,3,500,0.211554991786405,0.126534898516921,0.209666739086519,0.332616445715389,0.134344563899155,0.0710004795352902,0.0718209740853861,9.318
"separated","independent_marginal_mixture",10,3,500,0.175265459636056,0.124191972015788,0.212703766625753,0.333126161139399,0.108336539644258,0.0239569877193528,0.0505898308820625,12.973
"asymmetric_pi","viroli_laplace_gibbs",10,3,500,0.18376754978909,0.119360963030191,0.210934542265946,0.296484667156689,0.427237992348208,0.433057393314544,0.115274028347923,139.92216
"moderate_overlap","viroli_laplace_gibbs",10,3,500,0.180899812626117,0.117498007072786,0.225780882792632,0.29197379131986,0.247061709449209,0.311645139147249,0.0666501759849263,139.22304
"separated","viroli_laplace_gibbs",10,3,500,0.176017629521228,0.117377175364541,0.225296198190697,0.292162803881658,0.284916417383227,0.379652509231126,0.0667710140331451,145.66072
"asymmetric_pi","independent_marginal_mixture",5,2,1000,0.107351256218932,0.0834782934219486,0.210948407636751,0.316447485717682,0.112743332236828,0.0122226213445295,0.0457392474940244,9.51972
"moderate_overlap","independent_marginal_mixture",5,2,1000,0.120363358901851,0.0844647859306893,0.219748848537542,0.355582494262164,0.0952071879019574,0.0213145775667607,0.0475601486212147,11.11908
"separated","independent_marginal_mixture",5,2,1000,0.0971269832789178,0.0818146404555379,0.221762278760223,0.346617625185051,0.095516340837139,0.00594981459593762,0.0474153010458508,19.33116
"asymmetric_pi","viroli_laplace_gibbs",5,2,1000,0.0978095685553393,0.0800974636457266,0.20625680050686,0.294008537818673,0.109282046755694,0.090746628772018,0.0442397526043482,162.0896
"moderate_overlap","viroli_laplace_gibbs",5,2,1000,0.102938389995699,0.0784858924969769,0.199498701742668,0.292506412856008,0.094120806604804,0.0693252702334259,0.0462728541979846,161.52132
"separated","viroli_laplace_gibbs",5,2,1000,0.0945865661422825,0.0761731824750542,0.205207685969101,0.296860356117667,0.0975530981655145,0.0805447679584121,0.0462938322452387,168.0714
"asymmetric_pi","independent_marginal_mixture",10,2,1000,0.119763830354711,0.11334383135577,0.2031752439744,0.333065025032577,0.106213417946467,0.0089900826649606,0.0449084093419851,12.62032
"moderate_overlap","independent_marginal_mixture",10,2,1000,0.147320736034154,0.116299480521308,0.222188561147146,0.386678182320586,0.106250576497907,0.0279571292332996,0.0527765903557891,12.43408
"separated","independent_marginal_mixture",10,2,1000,0.114470873959699,0.113005007586776,0.222279745785883,0.369157875537137,0.106453253668288,0.0078841516384107,0.05278222684171,41.76404
"asymmetric_pi","viroli_laplace_gibbs",10,2,1000,0.119692079278834,0.107019067295757,0.196179688957645,0.304589849111902,0.11333579516039,0.0995767141482005,0.0444471157929282,231.99976
"moderate_overlap","viroli_laplace_gibbs",10,2,1000,0.125758220152104,0.106091394463764,0.199456365225525,0.319622949636668,0.104329008127255,0.0813342687460964,0.0517333459858009,231.01848
"separated","viroli_laplace_gibbs",10,2,1000,0.11834327331154,0.10328149400938,0.20480071064744,0.324141882910651,0.107930677039165,0.0911199671472596,0.0518942624359659,240.74384
"asymmetric_pi","independent_marginal_mixture",5,3,1000,0.13728217734753,0.0892385250205614,0.204707391977205,0.288106513291349,0.115147402292578,0.0162901036204159,0.0493530857889256,7.47296
"moderate_overlap","independent_marginal_mixture",5,3,1000,0.151787969566194,0.0896321214881889,0.203800724382352,0.299001409201417,0.127058706151179,0.0464040755107462,0.0627033870258347,8.38656
"separated","independent_marginal_mixture",5,3,1000,0.124705380374444,0.0886519121979229,0.206461223837129,0.303659383911023,0.109394049879371,0.0145029481069409,0.0487055244947775,10.81324
"asymmetric_pi","viroli_laplace_gibbs",5,3,1000,0.125682918905831,0.0844315222316698,0.210017268104828,0.260992704709085,0.401346884956242,0.376065789152362,0.122453786563105,162.25188
"moderate_overlap","viroli_laplace_gibbs",5,3,1000,0.124499838096443,0.0841304263137207,0.217568476561814,0.269567420034055,0.238940294107561,0.286934705418548,0.0761767945568142,161.64244
"separated","viroli_laplace_gibbs",5,3,1000,0.114868962951803,0.0836158506016814,0.222861295719359,0.273440374731162,0.267926528743338,0.343122200542694,0.0706372322516651,168.37092
"asymmetric_pi","independent_marginal_mixture",10,3,1000,0.1653727264125,0.119966138232377,0.200911582703473,0.347581818327603,0.115989443019174,0.0208923835826112,0.049505751769892,8.79864
"moderate_overlap","independent_marginal_mixture",10,3,1000,0.180424069816944,0.119996930102777,0.203065592462004,0.346258578302554,0.117367980516023,0.055593535717986,0.0580251744542432,11.29332
"separated","independent_marginal_mixture",10,3,1000,0.148633528273663,0.118864412007007,0.206916359467187,0.351638618400915,0.108684830572016,0.0165982160095539,0.0488459300722796,15.26308
"asymmetric_pi","viroli_laplace_gibbs",10,3,1000,0.145473207954862,0.113275825909775,0.209611771029197,0.293885915982944,0.416905519134114,0.425962706496064,0.1112752702835,231.31384
"moderate_overlap","viroli_laplace_gibbs",10,3,1000,0.143624347395156,0.111406482576147,0.219901177702305,0.295678705116205,0.249726454047627,0.316024803410552,0.0677343826704471,230.12888
