"loading_design","method","H_true","G_true","n","p","n_reps","mean_alpha_rmse","sd_alpha_rmse","lower_alpha_rmse","upper_alpha_rmse","mean_lambda_rmse","sd_lambda_rmse","lower_lambda_rmse","upper_lambda_rmse","mean_joint_mu_rmse","sd_joint_mu_rmse","lower_joint_mu_rmse","upper_joint_mu_rmse","mean_joint_var_rmse","sd_joint_var_rmse","lower_joint_var_rmse","upper_joint_var_rmse","mean_joint_weight_rmse","sd_joint_weight_rmse","lower_joint_weight_rmse","upper_joint_weight_rmse","mean_flat_parameter_corr","sd_flat_parameter_corr","lower_flat_parameter_corr","upper_flat_parameter_corr"
"balanced_moderate_dense_signed_cross","joint_mixture_factor_gibbs",3,3,500,500,25,0.101541369881636,0.010912469566703,0.0797164307482301,0.123366309015042,0.242942248308704,0.107748451994896,0.0274453443189119,0.458439152298496,0.956253939739985,0.505632606708356,-0.0550112736767274,1.9675191531567,0.711369748475059,0.0660828538872228,0.579204040700613,0.843535456249504,0.10807393811311,0.0104769505936754,0.0871200369257593,0.129027839300461,0.892103718041209,0.0548696929379009,0.782364332165407,1.00184310391701
"balanced_moderate_dense_signed_cross","independent_marginal_mixture",3,3,1000,500,25,0.0704410423658663,0.00643620767312834,0.0575686270196096,0.083313457712123,0.0631695347493047,0.00338707580557272,0.0563953831381592,0.0699436863604501,0.238396178803747,0.037620571396584,0.163155036010579,0.313637321596915,0.164500052955609,0.0299327792543924,0.104634494446824,0.224365611464393,0.0156445941482183,0.00250981368544297,0.0106249667773324,0.0206642215191043,0.991045026237173,0.00116011877123599,0.988724788694701,0.993365263779645
"balanced_moderate_dense_signed_cross","joint_mixture_factor_gibbs",3,3,1000,500,25,0.0717059697783106,0.00741595551539328,0.0568740587475241,0.0865378808090972,0.132268072525773,0.0767190976907607,-0.0211701228557485,0.285706267907294,0.69181105067834,0.0159760492843142,0.659858952109712,0.723763149246968,0.659475492165216,0.00803883980637309,0.64339781255247,0.675553171777962,0.0859677060208481,0.00577570595867002,0.074416294103508,0.0975191179381881,0.934862123901729,0.0272433679465237,0.880375388008681,0.989348859794776
"balanced_moderate_dense_signed_cross","independent_marginal_mixture",3,3,2000,500,25,0.0486053665948571,0.00601785673447107,0.036569653125915,0.0606410800637993,0.0443094088012966,0.00161191425594186,0.0410855802894129,0.0475332373131803,0.239436074558337,0.0296115074517549,0.180213059654827,0.298659089461847,0.178443503890827,0.0232658971927561,0.131911709505315,0.224975298276339,0.0164444762401913,0.00219223791975586,0.0120600004006796,0.020828952079703,0.993238733344687,0.000908817067510472,0.991421099209666,0.995056367479707
"balanced_moderate_dense_signed_cross","joint_mixture_factor_gibbs",3,3,2000,500,25,0.0487437381132798,0.00633131612165281,0.0360811058699742,0.0614063703565854,0.117150058317915,0.0821717401645086,-0.0471934220111026,0.281493538646932,0.66604564603245,0.0218130215096439,0.622419603013162,0.709671689051738,0.622048294304459,0.0154386749189544,0.59117094446655,0.652925644142368,0.0703885835193165,0.00359191002952921,0.063204763460258,0.0775724035783749,0.940868738805448,0.0261016548148982,0.888665429175652,0.993072048435244
"balanced_moderate_dense_signed_cross","independent_marginal_mixture",4,2,100,500,25,0.376636750498784,0.105584550358628,0.165467649781528,0.587805851216041,0.265387553518195,0.0411477702924719,0.183092012933251,0.347683094103139,0.0913349582761138,0.0269605518781067,0.0374138545199004,0.145256062032327,0.0699551229464617,0.0134432642966639,0.043068594353134,0.0968416515397894,0.0122233595290619,0.00384026709206828,0.00454282534492538,0.0199038937131985,0.914846386844636,0.0280885208641861,0.858669345116264,0.971023428573008
"balanced_moderate_dense_signed_cross","joint_mixture_factor_gibbs",4,2,100,500,25,0.317332792253438,0.0557395639696728,0.205853664314093,0.428811920192784,0.989219195878841,0.0631862477030101,0.862846700472821,1.11559169128486,2.02387396809091,0.24270794827318,1.53845807154455,2.50928986463727,1.21392936574446,0.0706629584842672,1.07260344877593,1.355255282713,0.236127430081816,0.00141777908323712,0.233291871915342,0.238962988248291,0.686909507616276,0.0606046553528151,0.565700196910646,0.808118818321906
"balanced_moderate_dense_signed_cross","independent_marginal_mixture",4,2,500,500,25,0.103956177859782,0.0112783394959703,0.0813994988678413,0.126512856851723,0.0856095915406804,0.0029786991413565,0.0796521932579674,0.0915669898233934,0.0466230325303354,0.0148170427182107,0.016988947093914,0.0762571179667568,0.0332288411349837,0.0105005490623959,0.012227743010192,0.0542299392597754,0.00592896646408774,0.00202303283711981,0.00188290078984812,0.00997503213832735,0.988568476612819,0.00100929420358464,0.98654988820565,0.990587065019989
"balanced_moderate_dense_signed_cross","joint_mixture_factor_gibbs",4,2,500,500,25,0.104724186672258,0.0122672515417763,0.0801896835887055,0.129258689755811,0.273699339768407,0.0952700874162109,0.0831591649359858,0.464239514600829,0.691353564223679,0.0662688830193342,0.55881579818501,0.823891330262347,0.66159792009264,0.0482190765635687,0.565159766965503,0.758036073219777,0.0783274931444444,0.0129395789609015,0.0524483352226414,0.104206651066247,0.879418734170707,0.0645589626417345,0.750300808887238,1.00853665945418
"balanced_moderate_dense_signed_cross","independent_marginal_mixture",4,2,1000,500,25,0.0726863133319189,0.00668490354642677,0.0593165062390654,0.0860561204247724,0.0595483400443211,0.00151155828609323,0.0565252234721347,0.0625714566165076,0.0343551332431856,0.00956570170285719,0.0152237298374712,0.0534865366489,0.0358474304045444,0.00797390777133819,0.019899614861868,0.0517952459472207,0.00393493750358996,0.00143686686530745,0.00106120377297506,0.00680867123420486,0.994271165075211,0.000275821310660791,0.993719522453889,0.994822807696532
"balanced_moderate_dense_signed_cross","joint_mixture_factor_gibbs",4,2,1000,500,25,0.0715564437098874,0.00763190622693799,0.0562926312560114,0.0868202561637634,0.141421138997885,0.0940182025446082,-0.046615266091331,0.329457544087102,0.545111359367893,0.0555436203873221,0.434024118593249,0.656198600142537,0.504380845110987,0.0552374072204933,0.393906030670001,0.614855659551974,0.0485962196176382,0.00736454893129209,0.033867121755054,0.0633253174802224,0.944886554916632,0.0467551597682726,0.851376235380086,1.03839687445318
"balanced_moderate_dense_signed_cross","independent_marginal_mixture",4,2,2000,500,25,0.0514838118715165,0.00548918308362863,0.0405054457042592,0.0624621780387737,0.0415408152617458,0.00095338071792691,0.039634053825892,0.0434475766975996,0.0267472409979984,0.00736971497845125,0.0120078110410959,0.0414866709549009,0.0331333684861316,0.00531769401678042,0.0224979804525708,0.0437687565196925,0.00280876537151864,0.00118678612323993,0.000435193125038773,0.0051823376179985,0.997132688456215,0.000237545167930493,0.996657598120354,0.997607778792077
"balanced_moderate_dense_signed_cross","joint_mixture_factor_gibbs",4,2,2000,500,25,0.0500323663879974,0.00566222082407325,0.0387079247398508,0.0613568080361439,0.0885163829650629,0.062411486724517,-0.036306590483971,0.213339356414097,0.464160323096839,0.0785416360301453,0.307077051036549,0.62124359515713,0.427059359017731,0.12169403109484,0.183671296828052,0.670447421207411,0.0390932725783927,0.0128432594442054,0.013406753689982,0.0647797914668034,0.969148421807038,0.0197244916697772,0.929699438467484,1.00859740514659
"balanced_moderate_dense_signed_cross","independent_marginal_mixture",4,3,100,500,25,0.311230956132243,0.0817605541953979,0.147709847741448,0.474752064523039,0.288048235122571,0.050912127984965,0.186223979152641,0.389872491092501,0.493362946280041,0.143617706338349,0.206127533603342,0.78059835895674,0.180999840036905,0.0275833407534859,0.125833158529933,0.236166521543876,0.0131388279022043,0.00295705756478104,0.00722471277264222,0.0190529430317664,0.89203369047986,0.0284999552799908,0.835033779919878,0.949033601039841
