"block_size_mode","loading_design","method","H_true","G_true","n","p","n_reps","mean_seconds","median_seconds","mean_log_seconds","sd_log_seconds","lower_log_seconds","upper_log_seconds","geometric_mean_seconds"
"moderate_ifeval_like","balanced_moderate_few_positive_cross","joint_mixture_factor_gibbs",3,3,2000,500,25,170.24404,171.056999999993,5.13715051801922,0.013123023810127,5.11090447039897,5.16339656563948,170.230009225231
"moderate_ifeval_like","balanced_moderate_few_positive_cross","independent_marginal_mixture",4,2,100,500,25,56.32264,15.7389999999998,2.90344738871543,0.85205760617262,1.19933217637019,4.60756260106067,18.2369068325248
"moderate_ifeval_like","balanced_moderate_few_positive_cross","joint_mixture_factor_gibbs",4,2,100,500,25,30.48324,17.2389999999999,3.00663189438816,0.682812954314895,1.64100598575837,4.37225780301795,20.2191847621268
"moderate_ifeval_like","balanced_moderate_few_positive_cross","independent_marginal_mixture",4,2,500,500,25,31.60852,31.6970000000001,3.45270221833628,0.0389057787803343,3.37489066077561,3.53051377589695,31.585628357786
"moderate_ifeval_like","balanced_moderate_few_positive_cross","joint_mixture_factor_gibbs",4,2,500,500,25,43.8445200000001,43.7889999999998,3.78061493888586,0.00848486217954494,3.76364521452677,3.79758466324495,43.8429942096747
"moderate_ifeval_like","balanced_moderate_few_positive_cross","independent_marginal_mixture",4,2,1000,500,25,60.3967600000001,60.5290000000023,4.10044234874354,0.0321171386270991,4.03620807148934,4.16467662599774,60.3669849521007
"moderate_ifeval_like","balanced_moderate_few_positive_cross","joint_mixture_factor_gibbs",4,2,1000,500,25,86.7779199999999,86.5510000000031,4.4632340839089,0.0156732501230474,4.4318875836628,4.49458058415499,86.7676697451512
"moderate_ifeval_like","balanced_moderate_few_positive_cross","independent_marginal_mixture",4,2,2000,500,25,115.421600000001,115.157999999996,4.74817222394258,0.0294114160346465,4.68934939187329,4.80699505601187,115.373215291724
"moderate_ifeval_like","balanced_moderate_few_positive_cross","joint_mixture_factor_gibbs",4,2,2000,500,25,172.19776,172.644,5.14855504962655,0.0136060634799389,5.12134292266667,5.17576717658642,172.182515292122
"moderate_ifeval_like","balanced_moderate_few_positive_cross","independent_marginal_mixture",4,3,100,500,25,8.95879999999994,9.01600000000008,2.19224064383577,0.0288565611703302,2.13452752149511,2.24995376617643,8.95525619119788
"moderate_ifeval_like","balanced_moderate_few_positive_cross","joint_mixture_factor_gibbs",4,3,100,500,25,16.13416,16.0839999999998,2.78089919209946,0.00905694585949322,2.76278530038048,2.79901308381845,16.1335215627572
"moderate_ifeval_like","balanced_moderate_few_positive_cross","independent_marginal_mixture",4,3,500,500,25,37.35304,37.0110000000004,3.61981330766797,0.0353579190009837,3.549097469666,3.69052914566993,37.3305978350863
"moderate_ifeval_like","balanced_moderate_few_positive_cross","joint_mixture_factor_gibbs",4,3,500,500,25,51.08512,51.0650000000005,3.93348586553282,0.00392514301086668,3.92563557951108,3.94133615155455,51.084742199658
"moderate_ifeval_like","balanced_moderate_few_positive_cross","independent_marginal_mixture",4,3,1000,500,25,70.6788799999999,70.7000000000007,4.25771395727125,0.030055402939321,4.19760315139261,4.31782476314989,70.6482936917469
"moderate_ifeval_like","balanced_moderate_few_positive_cross","joint_mixture_factor_gibbs",4,3,1000,500,25,96.8896399999995,97.0409999999974,4.57353626773686,0.00870365439992383,4.55612895893701,4.59094357653671,96.8861199567996
"moderate_ifeval_like","balanced_moderate_few_positive_cross","independent_marginal_mixture",4,3,2000,500,25,138.96416,140.095999999998,4.9337829213725,0.0300869197253606,4.87360908192178,4.99395676082322,138.903982544027
"moderate_ifeval_like","balanced_moderate_few_positive_cross","joint_mixture_factor_gibbs",4,3,2000,500,25,187.04328,187.248,5.2312683700581,0.0122171798703814,5.20683401031734,5.25570272979886,187.029876235406
