"block_label","loading_design","H_true","G_true","n","p","n_reps","mean_factor_score_rmse","sd_factor_score_rmse","lower_factor_score_rmse","upper_factor_score_rmse"
"unbalanced","balanced_moderate_few_positive_cross",3,"2-2-2",1000,2000,25,0.077449153621817,0.00273110910296949,0.071986935415878,0.082911371827756
"unbalanced","balanced_moderate_few_positive_cross",3,"2-2-2",2000,2000,25,0.0756115453531318,0.0010914506491997,0.0734286440547324,0.0777944466515312
"unbalanced","balanced_moderate_few_positive_cross",3,"3-3-3",100,250,25,0.301661402870645,0.0748593347333527,0.151942733403939,0.45138007233735
"unbalanced","balanced_moderate_few_positive_cross",3,"3-3-3",500,250,25,0.221095543826229,0.00968991437828762,0.201715715069654,0.240475372582804
"unbalanced","balanced_moderate_few_positive_cross",3,"3-3-3",1000,250,25,0.22107305051894,0.00740294309392053,0.206267164331098,0.235878936706781
"unbalanced","balanced_moderate_few_positive_cross",3,"3-3-3",2000,250,25,0.236404721387356,0.0068037871095665,0.222797147168223,0.250012295606489
"unbalanced","balanced_moderate_few_positive_cross",3,"3-3-3",100,500,25,0.24861034228625,0.058257752560106,0.132094837166038,0.365125847406462
"unbalanced","balanced_moderate_few_positive_cross",3,"3-3-3",500,500,25,0.160684240795312,0.00615570881588616,0.148372823163539,0.172995658427084
"unbalanced","balanced_moderate_few_positive_cross",3,"3-3-3",1000,500,25,0.159709470221323,0.00364574053013058,0.152417989161062,0.167000951281584
"unbalanced","balanced_moderate_few_positive_cross",3,"3-3-3",2000,500,25,0.160680397744451,0.00266418343550487,0.155352030873441,0.166008764615461
"unbalanced","balanced_moderate_few_positive_cross",3,"3-3-3",100,1000,25,0.180023104917081,0.0387264071302221,0.102570290656637,0.257475919177525
"unbalanced","balanced_moderate_few_positive_cross",3,"3-3-3",500,1000,25,0.120276811168812,0.00529309424272594,0.109690622683361,0.130862999654264
"unbalanced","balanced_moderate_few_positive_cross",3,"3-3-3",1000,1000,25,0.116354357023316,0.00433457114379277,0.10768521473573,0.125023499310901
"unbalanced","balanced_moderate_few_positive_cross",3,"3-3-3",2000,1000,25,0.115674790055167,0.00289466087455248,0.109885468306062,0.121464111804272
"unbalanced","balanced_moderate_few_positive_cross",3,"3-3-3",100,2000,25,0.174474161175635,0.0896927908141741,-0.00491142045271373,0.353859742803983
"unbalanced","balanced_moderate_few_positive_cross",3,"3-3-3",500,2000,25,0.0924594963221926,0.00638779568373987,0.0796839049547129,0.105235087689672
"unbalanced","balanced_moderate_few_positive_cross",3,"3-3-3",1000,2000,25,0.0858621277687209,0.0046118428787291,0.0766384420112627,0.0950858135261791
"unbalanced","balanced_moderate_few_positive_cross",3,"3-3-3",2000,2000,25,0.0838335323310594,0.00248309694519434,0.0788673384406707,0.0887997262214481
"unbalanced","balanced_moderate_few_positive_cross",4,"2-2-2-2",100,250,25,0.251323263971923,0.021540393727798,0.208242476516327,0.294404051427519
"unbalanced","balanced_moderate_few_positive_cross",4,"2-2-2-2",500,250,25,0.213320003981009,0.00464716570793435,0.20402567256514,0.222614335396878
"unbalanced","balanced_moderate_few_positive_cross",4,"2-2-2-2",1000,250,25,0.223862935886762,0.00447551083783097,0.2149119142111,0.232813957562424
"unbalanced","balanced_moderate_few_positive_cross",4,"2-2-2-2",2000,250,25,0.234570916715463,0.00469736194376822,0.225176192827927,0.243965640603
"unbalanced","balanced_moderate_few_positive_cross",4,"2-2-2-2",100,500,25,0.195317507279204,0.00838966507069428,0.178538177137816,0.212096837420593
"unbalanced","balanced_moderate_few_positive_cross",4,"2-2-2-2",500,500,25,0.161389039184187,0.00290717683643947,0.155574685511309,0.167203392857066
"unbalanced","balanced_moderate_few_positive_cross",4,"2-2-2-2",1000,500,25,0.158497797764265,0.00227452926014596,0.153948739243973,0.163046856284557
"unbalanced","balanced_moderate_few_positive_cross",4,"2-2-2-2",2000,500,25,0.157995178029576,0.00212986029468407,0.153735457440208,0.162254898618944
"unbalanced","balanced_moderate_few_positive_cross",4,"2-2-2-2",100,1000,25,0.158631654188234,0.0129463421969447,0.132738969794344,0.184524338582123
"unbalanced","balanced_moderate_few_positive_cross",4,"2-2-2-2",500,1000,25,0.120753358608834,0.00297257658495724,0.114808205438919,0.126698511778748
"unbalanced","balanced_moderate_few_positive_cross",4,"2-2-2-2",1000,1000,25,0.11845881365089,0.0014966259551542,0.115465561740581,0.121452065561198
"unbalanced","balanced_moderate_few_positive_cross",4,"2-2-2-2",2000,1000,25,0.117948515355745,0.00184704861062341,0.114254418134498,0.121642612576991
"unbalanced","balanced_moderate_few_positive_cross",4,"2-2-2-2",100,2000,25,0.133244002357823,0.0129544404270721,0.107335121503679,0.159152883211967
"unbalanced","balanced_moderate_few_positive_cross",4,"2-2-2-2",500,2000,25,0.0943009706222693,0.0037122987026324,0.0868763732170045,0.101725568027534
"unbalanced","balanced_moderate_few_positive_cross",4,"2-2-2-2",1000,2000,25,0.0891633538379845,0.00238432891817355,0.0843946960016374,0.0939320116743316
"unbalanced","balanced_moderate_few_positive_cross",4,"2-2-2-2",2000,2000,25,0.0872585281609546,0.00107084929843828,0.085116829564078,0.0894002267578311
"unbalanced","balanced_moderate_few_positive_cross",4,"3-3-3-3",100,250,25,0.403619797405591,0.10301249149153,0.197594814422531,0.609644780388651
"unbalanced","balanced_moderate_few_positive_cross",4,"3-3-3-3",500,250,25,0.258252440057458,0.00854562630922176,0.241161187439014,0.275343692675901
"unbalanced","balanced_moderate_few_positive_cross",4,"3-3-3-3",1000,250,25,0.275691989643533,0.0103045296745498,0.255082930294434,0.296301048992633
"unbalanced","balanced_moderate_few_positive_cross",4,"3-3-3-3",2000,250,25,0.297231451441553,0.00920238730140572,0.278826676838741,0.315636226044364
"unbalanced","balanced_moderate_few_positive_cross",4,"3-3-3-3",100,500,25,0.316388298554806,0.0935191871273227,0.12934992430016,0.503426672809451
"unbalanced","balanced_moderate_few_positive_cross",4,"3-3-3-3",500,500,25,0.18869264254518,0.00727848968129769,0.174135663182584,0.203249621907775
"unbalanced","balanced_moderate_few_positive_cross",4,"3-3-3-3",1000,500,25,0.185069442250978,0.00503183061758771,0.175005781015802,0.195133103486153
"unbalanced","balanced_moderate_few_positive_cross",4,"3-3-3-3",2000,500,25,0.182420525568254,0.00296704866107893,0.176486428246097,0.188354622890412
"unbalanced","balanced_moderate_few_positive_cross",4,"3-3-3-3",100,1000,25,0.279760140714654,0.102758431000797,0.0742432787130607,0.485277002716247
"unbalanced","balanced_moderate_few_positive_cross",4,"3-3-3-3",500,1000,25,0.140076035219387,0.00494632841076379,0.130183378397859,0.149968692040915
"unbalanced","balanced_moderate_few_positive_cross",4,"3-3-3-3",1000,1000,25,0.135137057533605,0.0036346387990514,0.127867779935503,0.142406335131708
"unbalanced","balanced_moderate_few_positive_cross",4,"3-3-3-3",2000,1000,25,0.131832975777654,0.00302379609454617,0.125785383588562,0.137880567966746
"unbalanced","balanced_moderate_few_positive_cross",4,"3-3-3-3",100,2000,25,0.23828034811423,0.0859696234210086,0.0663411012722123,0.410219594956247
"unbalanced","balanced_moderate_few_positive_cross",4,"3-3-3-3",500,2000,25,0.107531612286008,0.00632107784361193,0.0948894565987838,0.120173767973231
"unbalanced","balanced_moderate_few_positive_cross",4,"3-3-3-3",1000,2000,25,0.100272766655719,0.00367831774796477,0.0929161311597893,0.107629402151648
"unbalanced","balanced_moderate_few_positive_cross",4,"3-3-3-3",2000,2000,25,0.0959833425013879,0.00228080372128004,0.0914217350588278,0.100544949943948
