"block_label","loading_design","H_true","G_true","n","p","n_reps","mean_factor_score_rmse","sd_factor_score_rmse","lower_factor_score_rmse","upper_factor_score_rmse"
"balanced","balanced_moderate_few_positive_cross",3,"2-2-2",2000,250,25,0.177337889229312,0.00371112500142679,0.169915639226458,0.184760139232166
"balanced","balanced_moderate_few_positive_cross",3,"2-2-2",100,500,25,0.153878528966572,0.0120140156297337,0.129850497707104,0.177906560226039
"balanced","balanced_moderate_few_positive_cross",3,"2-2-2",500,500,25,0.13305164608575,0.00402454719405193,0.125002551697646,0.141100740473854
"balanced","balanced_moderate_few_positive_cross",3,"2-2-2",1000,500,25,0.13070500869276,0.00266251022876553,0.125379988235229,0.136030029150291
"balanced","balanced_moderate_few_positive_cross",3,"2-2-2",2000,500,25,0.13140930199401,0.0023699882371489,0.126669325519712,0.136149278468308
"balanced","balanced_moderate_few_positive_cross",3,"2-2-2",100,1000,25,0.125966549144949,0.0120612265716629,0.101844096001623,0.150089002288275
"balanced","balanced_moderate_few_positive_cross",3,"2-2-2",500,1000,25,0.100322810125384,0.00398196693615842,0.092358876253067,0.108286743997701
"balanced","balanced_moderate_few_positive_cross",3,"2-2-2",1000,1000,25,0.0986276663323071,0.00208527462115445,0.0944571170899982,0.102798215574616
"balanced","balanced_moderate_few_positive_cross",3,"2-2-2",2000,1000,25,0.0971151096685776,0.00209453254768729,0.092926044573203,0.101304174763952
"balanced","balanced_moderate_few_positive_cross",3,"2-2-2",100,2000,25,0.108132164263676,0.0160249326348006,0.0760822989940745,0.140182029533277
"balanced","balanced_moderate_few_positive_cross",3,"2-2-2",500,2000,25,0.0773578341934354,0.00414984512584371,0.069058143941748,0.0856575244451228
"balanced","balanced_moderate_few_positive_cross",3,"2-2-2",1000,2000,25,0.0733285776828875,0.00294390046635825,0.067440776750171,0.079216378615604
"balanced","balanced_moderate_few_positive_cross",3,"2-2-2",2000,2000,25,0.0709974193763369,0.00123464952166373,0.0685281203330094,0.0734667184196643
"balanced","balanced_moderate_few_positive_cross",3,"3-3-3",100,250,25,0.269431673663461,0.0449804097049757,0.17947085425351,0.359392493073412
"balanced","balanced_moderate_few_positive_cross",3,"3-3-3",500,250,25,0.209509488170525,0.00921198948324181,0.191085509204042,0.227933467137009
"balanced","balanced_moderate_few_positive_cross",3,"3-3-3",1000,250,25,0.208780654811159,0.00671917343247212,0.195342307946215,0.222219001676104
"balanced","balanced_moderate_few_positive_cross",3,"3-3-3",2000,250,25,0.21368153555005,0.00868002613415207,0.196321483281746,0.231041587818354
"balanced","balanced_moderate_few_positive_cross",3,"3-3-3",100,500,25,0.256366867171064,0.1007340772115,0.0548987127480642,0.457835021594065
"balanced","balanced_moderate_few_positive_cross",3,"3-3-3",500,500,25,0.152810924579343,0.00504797302465247,0.142714978530038,0.162906870628648
"balanced","balanced_moderate_few_positive_cross",3,"3-3-3",1000,500,25,0.152457612654673,0.00419768817107043,0.144062236312532,0.160852988996814
"balanced","balanced_moderate_few_positive_cross",3,"3-3-3",2000,500,25,0.15551709026604,0.00438224416354713,0.146752601938946,0.164281578593134
"balanced","balanced_moderate_few_positive_cross",3,"3-3-3",100,1000,25,0.196967039267486,0.079525914230012,0.0379152108074625,0.35601886772751
"balanced","balanced_moderate_few_positive_cross",3,"3-3-3",500,1000,25,0.114195870706107,0.00576943615357043,0.102656998398966,0.125734743013248
