"block_size_mode","loading_design","method","H_true","G_true","n","p","n_reps","mean_alpha_rmse","sd_alpha_rmse","lower_alpha_rmse","upper_alpha_rmse","mean_lambda_rmse","sd_lambda_rmse","lower_lambda_rmse","upper_lambda_rmse","mean_joint_mu_rmse","sd_joint_mu_rmse","lower_joint_mu_rmse","upper_joint_mu_rmse","mean_joint_var_rmse","sd_joint_var_rmse","lower_joint_var_rmse","upper_joint_var_rmse","mean_joint_weight_rmse","sd_joint_weight_rmse","lower_joint_weight_rmse","upper_joint_weight_rmse","mean_factor_score_rmse","sd_factor_score_rmse","lower_factor_score_rmse","upper_factor_score_rmse"
"balanced","balanced_moderate_few_positive_cross","independent_marginal_mixture",3,"2-2-2",1000,2000,25,0.0701257024696171,0.0062642990647536,0.0575971043401099,0.0826543005991243,0.0589640177425482,0.00168729106497419,0.0555894356125998,0.0623385998724966,0.0287886677090796,0.0125816532079749,0.00362536129312977,0.0539519741250294,0.0171600028116554,0.00597002924773666,0.0052199443161821,0.0291000613071288,0.00656945382015495,0.00319160935468515,0.000186235110784655,0.0129526725295252,0.0733285776828875,0.00294390046635825,0.067440776750171,0.079216378615604
"balanced","balanced_moderate_few_positive_cross","joint_mixture_factor_gibbs",3,"2-2-2",1000,250,25,0.0729615350440164,0.00859980293321698,0.0557619291775825,0.0901611409104504,0.0812113616541923,0.0246495011368454,0.0319123593805015,0.130510363927883,0.593939765837365,0.32894630144757,-0.0639528370577762,1.25183236873251,0.511748648475399,0.0922575376996058,0.327233573076187,0.69626372387461,0.0901414836550548,0.0214464159117879,0.047248651831479,0.133034315478631,0.20134504139878,0.0318894191140516,0.137566203170677,0.265123879626883
"balanced","balanced_moderate_few_positive_cross","joint_mixture_factor_gibbs",3,"2-2-2",1000,500,25,0.0722992416949788,0.00753255964470505,0.0572341224055687,0.0873643609843889,0.078139984546807,0.0326508864789877,0.0128382115888317,0.143441757504782,0.476802643809059,0.154898772808768,0.167005098191522,0.786600189426595,0.451864254663921,0.12856940206867,0.194725450526582,0.709003058801261,0.0782727449474114,0.0235052627926087,0.031262219362194,0.125283270532629,0.156759270369924,0.0530179653840203,0.0507233396018838,0.262795201137965
"balanced","balanced_moderate_few_positive_cross","independent_marginal_mixture",3,"2-2-2",2000,250,25,0.0548454857475047,0.00723707046089964,0.0403713448257055,0.069319626669304,0.043641357523209,0.00175552177171215,0.0401303139797847,0.0471524010666333,0.0452693808649572,0.00712238633418692,0.0310246081965833,0.059514153533331,0.0734303584028201,0.010212400993546,0.0530055564157282,0.093855160389912,0.00677938865781314,0.00203861724731864,0.00270215416317586,0.0108566231524504,0.177337889229312,0.00371112500142679,0.169915639226458,0.184760139232166
"balanced","balanced_moderate_few_positive_cross","independent_marginal_mixture",3,"2-2-2",2000,500,25,0.0512144031741261,0.00485082500644125,0.0415127531612436,0.0609160531870086,0.0416429638450616,0.00142293356211283,0.0387970967208359,0.0444888309692873,0.02611086953553,0.00698635519382252,0.012138159147885,0.040083579923175,0.0356254139211085,0.00627873347465806,0.0230679469717923,0.0481828808704246,0.00468891957726518,0.00194753955291639,0.000793840471432405,0.00858399868309796,0.13140930199401,0.0023699882371489,0.126669325519712,0.136149278468308
"balanced","balanced_moderate_few_positive_cross","independent_marginal_mixture",3,"2-2-2",2000,1000,25,0.0506133081830526,0.00620669177847532,0.038199924626102,0.0630266917400033,0.0415254701583116,0.00107335599971821,0.0393787581588752,0.043672182157748,0.0234288568155036,0.00834181149388973,0.00674523382772413,0.040112479803283,0.0205554608968569,0.00508369826622092,0.0103880643644151,0.0307228574292988,0.00510678955360185,0.00204494565970409,0.00101689823419368,0.00919668087301002,0.0971151096685776,0.00209453254768729,0.092926044573203,0.101304174763952
"balanced","balanced_moderate_few_positive_cross","independent_marginal_mixture",3,"2-2-2",2000,2000,25,0.0477895373821261,0.00318207216321471,0.0414253930556966,0.0541536817085555,0.0408036311809353,0.000717630450096322,0.0393683702807427,0.042238892081128,0.0213500811921363,0.007953777388318,0.00544252641550031,0.0372576359687723,0.0133695367612599,0.00574956060623485,0.00187041554879024,0.0248686579737296,0.00485799619460119,0.00191497991938844,0.00102803635582431,0.00868795603337808,0.0709974193763369,0.00123464952166373,0.0685281203330094,0.0734667184196643
"balanced","balanced_moderate_few_positive_cross","joint_mixture_factor_gibbs",3,"2-2-2",2000,250,25,0.0523427963769662,0.00609713485558338,0.0401485266657994,0.064537066088133,0.0523761024636002,0.00842899251987599,0.0355181174238482,0.0692340875033521,0.474930575572773,0.120446157432861,0.234038260707052,0.715822890438495,0.464430798801326,0.122876174001735,0.218678450797856,0.710183146804795,0.0797781060018588,0.0231351891660776,0.0335077276697035,0.126048484334014,0.184873644084033,0.00858468691182709,0.167704270260379,0.202043017907687
"balanced","balanced_moderate_few_positive_cross","joint_mixture_factor_gibbs",3,"2-2-2",2000,500,25,0.0513939526250244,0.00570872926337948,0.0399764940982654,0.0628114111517834,0.04693859209058,0.00355164857908185,0.0398352949324163,0.0540418892487437,0.527851765854539,0.0823676053537935,0.363116555146952,0.692586976562126,0.533894626258213,0.078358865688539,0.377176894881135,0.690612357635291,0.0866827389708078,0.0171429214512055,0.0523968960683968,0.120968581873219,0.137065768479973,0.00365003260275868,0.129765703274456,0.144365833685491
"balanced","balanced_moderate_few_positive_cross","independent_marginal_mixture",3,"3-3-3",100,250,25,0.322829398384705,0.0866798635277485,0.149469671329208,0.496189125440202,0.269198267907241,0.0404771516814059,0.188243964544429,0.350152571270053,0.470592310386715,0.124367842933738,0.221856624519238,0.719327996254191,0.200775063678877,0.0366031018684568,0.127568859941964,0.273981267415791,0.0331815672437693,0.00921279488838213,0.014755977467005,0.0516071570205335,0.269431673663461,0.0449804097049757,0.17947085425351,0.359392493073412
