"scenario","rep","np_regime","n","p","H_true","G_true","K_joint","separation","mixture_param_mode","mixture_variance_mode","intercept_mode","intercept_sd","intercept_block_span","intercept_clip","loading_design","block_size_mode","mixture_update","mu_prior_mean","mu_prior_kappa","var_prior_shape","var_prior_scale","weight_prior_alpha","method","mean_factor_abs_cor","min_factor_abs_cor","lambda_corr","lambda_rmse","alpha_corr","alpha_rmse","alpha_raw_corr","alpha_raw_rmse","probability_rmse","joint_profile_ari","seconds","pretraining_converged","pretraining_completed_iter","selected_pretraining_iteration","pretraining_return_best_iteration","refinement_converged","refinement_completed_iter","selected_refinement_iteration","refinement_return_best_iteration","refinement_stopping_objective","joint_mu_rmse","joint_var_rmse","joint_mu_corr","joint_var_corr","joint_weight_corr","joint_weight_rmse","joint_weight_l1","joint_weight_max_abs_error","est_effective_classes_001","est_effective_classes_01","flat_parameter_corr","flat_parameter_blocks","all_parameter_corr","all_parameter_corr_raw","all_parameter_blocks","occupied_classes","posterior_kept_draws","mfa_seconds_per_iter","mfa_converged","mfa_completed_iter","mfa_final_lambda_rel_range","mfa_final_intercept_rel_range","mfa_final_occupied_range"
"rep19_balanced_moderate_few_positive_cross_n500_p500_H4_G2_sep1",19,"n500p500",500,500,4,2,16,1,"equal","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_few_positive_cross","moderate_ifeval_like",NA,NA,NA,NA,NA,NA,"joint_mixture_factor_gibbs",0.536435742788606,0.290319921521781,0.557294621870266,0.702676070394691,0.991574361879326,0.100811102930485,0.991584652942502,0.100744311728274,0.0538793810866633,0.110786178224794,43.9580000000005,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.771497432048469,0.722444397280619,0.510425176578976,0.0996339194720325,NA,0.140893632296973,1.54391251650921,0.46693285023343,4,4,0.633366959184215,"alpha+loading+joint_mu+joint_var+joint_weight",0.583824805391606,0.574677583133002,"alpha+loading+joint_mu+joint_log_var",3,1000,0.0219790000000003,FALSE,2000,0.179030939646515,0.150322354539334,1
"rep20_balanced_moderate_few_positive_cross_n500_p500_H4_G2_sep1",20,"n500p500",500,500,4,2,16,1,"equal","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_few_positive_cross","moderate_ifeval_like","map",0,0.01,2,1.5,1,"independent_marginal_mixture",0.986821806053107,0.984380237605074,0.982819747821015,0.0882012387418212,0.990652451574549,0.11235383602268,NA,NA,0.0515012033001576,0.853545075269996,32.6509999999998,FALSE,10,10,TRUE,TRUE,3,3,TRUE,"posterior_objective",0.0598541300706149,0.0575260849088967,0.99957793294491,0.974864287932241,NA,0.00696751791010165,0.092781186941929,0.0130338622887298,16,16,0.986176523528087,"alpha+loading+joint_mu+joint_var+joint_weight",0.984227722705796,0.989041254886541,"alpha+loading+joint_mu+joint_log_var",NA,NA,NA,NA,NA,NA,NA,NA
"rep20_balanced_moderate_few_positive_cross_n500_p500_H4_G2_sep1",20,"n500p500",500,500,4,2,16,1,"equal","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_few_positive_cross","moderate_ifeval_like",NA,NA,NA,NA,NA,NA,"joint_mixture_factor_gibbs",0.583528788126653,0.0992092843647444,0.374226042029062,0.688431875026362,0.991517754697683,0.10857540534445,0.991519365085154,0.108617377878159,0.051622085687385,0.271901033300563,43.8850000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.715141377184411,0.721612873183727,0.617708834080306,0.0661452204167317,NA,0.11045041794795,1.49710543853907,0.263305895672163,4,4,0.549684374144222,"alpha+loading+joint_mu+joint_var+joint_weight",0.446313670895918,0.511808872770104,"alpha+loading+joint_mu+joint_log_var",4,1000,0.0219425000000001,FALSE,2000,0.175231031964973,0.187435601621239,1
"rep21_balanced_moderate_few_positive_cross_n500_p500_H4_G2_sep1",21,"n500p500",500,500,4,2,16,1,"equal","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_few_positive_cross","moderate_ifeval_like","map",0,0.01,2,1.5,1,"independent_marginal_mixture",0.987482541844908,0.985578595546144,0.983083814629887,0.083360214571367,0.991890493338743,0.0984670664244012,NA,NA,0.0526359796254041,0.832954894093736,32.0110000000004,FALSE,10,10,TRUE,TRUE,3,3,TRUE,"posterior_objective",0.0451800518155358,0.0558519688445563,0.999151320120956,0.968629472353785,NA,0.00515726770471637,0.0684450908771617,0.00918009920455792,16,16,0.987436974232068,"alpha+loading+joint_mu+joint_var+joint_weight",0.984751654559437,0.990208886188599,"alpha+loading+joint_mu+joint_log_var",NA,NA,NA,NA,NA,NA,NA,NA
"rep21_balanced_moderate_few_positive_cross_n500_p500_H4_G2_sep1",21,"n500p500",500,500,4,2,16,1,"equal","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_few_positive_cross","moderate_ifeval_like",NA,NA,NA,NA,NA,NA,"joint_mixture_factor_gibbs",0.476444992085321,0.267752815539124,0.549367101804927,0.74896351678979,0.992089473614559,0.100525948360443,0.992089933459912,0.10044224650348,0.0536606483096298,0.11424970291693,43.5500000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.763288631622987,0.708518279509504,0.525983034943473,0.15119463446668,NA,0.125614039169115,1.46548955764686,0.394577807647129,6,5,0.616506742106309,"alpha+loading+joint_mu+joint_var+joint_weight",0.572552053089721,0.563859429536387,"alpha+loading+joint_mu+joint_log_var",4,1000,0.0217750000000001,FALSE,2000,0.186245052072869,0.179506706041322,0
"rep22_balanced_moderate_few_positive_cross_n500_p500_H4_G2_sep1",22,"n500p500",500,500,4,2,16,1,"equal","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_few_positive_cross","moderate_ifeval_like","map",0,0.01,2,1.5,1,"independent_marginal_mixture",0.987599339700877,0.985329209561708,0.983367723383001,0.0857890329149304,0.992638138403921,0.105145920834792,NA,NA,0.0528104647870488,0.881327242874272,31.1579999999994,FALSE,10,10,TRUE,TRUE,3,3,TRUE,"posterior_objective",0.0459750596630131,0.0341583917392346,0.999044094311775,0.987051974376755,NA,0.00541217353141495,0.0742998551393859,0.00943687254014769,16,16,0.988092114312338,"alpha+loading+joint_mu+joint_var+joint_weight",0.984923375394988,0.990152663301812,"alpha+loading+joint_mu+joint_log_var",NA,NA,NA,NA,NA,NA,NA,NA
"rep22_balanced_moderate_few_positive_cross_n500_p500_H4_G2_sep1",22,"n500p500",500,500,4,2,16,1,"equal","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_few_positive_cross","moderate_ifeval_like",NA,NA,NA,NA,NA,NA,"joint_mixture_factor_gibbs",0.542769436739766,0.374577000913347,0.625966970666645,0.715521929392611,0.992623725517846,0.114415796200812,0.992621450618067,0.114342456770924,0.0538412192389092,0.104554901004657,45.357,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.780833384862864,0.694176034611923,0.498224730735466,0.169981465420019,NA,0.120529293146655,1.39023746384785,0.380829295067481,5,5,0.679816291729126,"alpha+loading+joint_mu+joint_var+joint_weight",0.640693023867847,0.616948804760383,"alpha+loading+joint_mu+joint_log_var",4,1000,0.0226785,FALSE,2000,0.299883014495254,0.143467948219782,1
"rep23_balanced_moderate_few_positive_cross_n500_p500_H4_G2_sep1",23,"n500p500",500,500,4,2,16,1,"equal","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_few_positive_cross","moderate_ifeval_like","map",0,0.01,2,1.5,1,"independent_marginal_mixture",0.987912501235772,0.985021239607424,0.981857602490874,0.0852808332884185,0.991870788901074,0.1095363426599,NA,NA,0.0524805201882937,0.869263324656122,31.6970000000001,FALSE,10,10,TRUE,TRUE,3,3,TRUE,"posterior_objective",0.075663524278903,0.0429620312423878,0.99967824723669,0.996162950290756,NA,0.00952289798090261,0.125684869507939,0.0198938030917328,16,16,0.98627766286624,"alpha+loading+joint_mu+joint_var+joint_weight",0.984217339955644,0.990178112540938,"alpha+loading+joint_mu+joint_log_var",NA,NA,NA,NA,NA,NA,NA,NA
"rep23_balanced_moderate_few_positive_cross_n500_p500_H4_G2_sep1",23,"n500p500",500,500,4,2,16,1,"equal","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_few_positive_cross","moderate_ifeval_like",NA,NA,NA,NA,NA,NA,"joint_mixture_factor_gibbs",0.566819372971425,0.275400030482298,0.467399142769314,0.697419752163724,0.992670887524192,0.107091681222681,0.992672790477894,0.10704687823449,0.0554332755056468,0.115500207662826,43.6540000000005,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.833274241834423,0.706078586056056,0.480441748865193,0.048693109883306,NA,0.113393011022248,1.45433064295782,0.322829595812999,5,5,0.58948841440953,"alpha+loading+joint_mu+joint_var+joint_weight",0.51778248198736,0.543629437488455,"alpha+loading+joint_mu+joint_log_var",4,1000,0.0218270000000002,FALSE,2000,0.196332156583614,0.165789676490685,0
"rep24_balanced_moderate_few_positive_cross_n500_p500_H4_G2_sep1",24,"n500p500",500,500,4,2,16,1,"equal","unequal","ifeval_like",0.45,1.6,1.75,"balanced_moderate_few_positive_cross","moderate_ifeval_like","map",0,0.01,2,1.5,1,"independent_marginal_mixture",0.986228380517877,0.984351699006484,0.982994924627066,0.0821372008079918,0.992898905492351,0.0973655743555605,NA,NA,0.0531635148401754,0.880677157636384,33.6110000000008,FALSE,10,10,TRUE,TRUE,3,3,TRUE,"posterior_objective",0.0415341871577172,0.05765849298222,0.999460780420158,0.993876447925597,NA,0.00418593736731579,0.0642542709215366,0.00608821587196262,16,16,0.9880143200938,"alpha+loading+joint_mu+joint_var+joint_weight",0.98524269657705,0.991102520821992,"alpha+loading+joint_mu+joint_log_var",NA,NA,NA,NA,NA,NA,NA,NA
