"block_size_mode","loading_design","method","H_true","G_true","n","p","n_reps","mean_alpha_rmse","sd_alpha_rmse","lower_alpha_rmse","upper_alpha_rmse","mean_lambda_rmse","sd_lambda_rmse","lower_lambda_rmse","upper_lambda_rmse","mean_joint_mu_rmse","sd_joint_mu_rmse","lower_joint_mu_rmse","upper_joint_mu_rmse","mean_joint_var_rmse","sd_joint_var_rmse","lower_joint_var_rmse","upper_joint_var_rmse","mean_flat_parameter_corr","sd_flat_parameter_corr","lower_flat_parameter_corr","upper_flat_parameter_corr"
"moderate_ifeval_like","balanced_moderate_few_positive_cross","independent_marginal_mixture",3,3,100,500,25,0.27278199385554,0.0331512778488312,0.206479438157878,0.339084549553203,0.24759366286592,0.0172418832363947,0.21310989639313,0.282077429338709,0.481469600727994,0.260459280781174,-0.0394489608343532,1.00238816229034,0.17786799501949,0.0306321640705082,0.116603666878473,0.239132323160506,0.921377108766239,0.0138820908988248,0.89361292696859,0.949141290563889
"moderate_ifeval_like","balanced_moderate_few_positive_cross","joint_mixture_factor_gibbs",3,3,100,500,25,0.30288380071825,0.0488912496607688,0.205101301396713,0.400666300039788,0.918038501865045,0.0533307052905102,0.811377091284024,1.02469991244607,1.24155148215684,0.285637693928555,0.670276094299733,1.81282687001395,1.0481022120011,0.0595549435965104,0.928992324808078,1.16721209919412,0.728199519488897,0.0510487610104043,0.626101997468089,0.830297041509706
"moderate_ifeval_like","balanced_moderate_few_positive_cross","independent_marginal_mixture",3,3,500,500,25,0.101234105285812,0.0115778165910874,0.0780784721036375,0.124389738467987,0.0900309708689802,0.00334871244318096,0.0833335459826183,0.0967283957553421,0.274228928933201,0.0557881816386813,0.162652565655839,0.385805292210564,0.183754388324007,0.03090792505612,0.121938538211767,0.245570238436247,0.983088241103399,0.00207481395224599,0.978938613198907,0.987237869007891
"moderate_ifeval_like","balanced_moderate_few_positive_cross","joint_mixture_factor_gibbs",3,3,500,500,25,0.128540123657352,0.0302060473977159,0.0681280288619198,0.188952218452783,0.737956379232157,0.0859581293366054,0.566040120558947,0.909872637905368,2.22262988730313,1.04388083469325,0.13486821791663,4.31039155668962,1.02215635595515,0.358192667671209,0.305771020612729,1.73854169129757,0.642609062951573,0.0583243832916885,0.525960296368196,0.75925782953495
"moderate_ifeval_like","balanced_moderate_few_positive_cross","independent_marginal_mixture",3,3,1000,500,25,0.0679881933242951,0.00662677984179939,0.0547346336406964,0.0812417530078939,0.0620331583068418,0.00258498097848537,0.0568631963498711,0.0672031202638126,0.290053897420726,0.0518497389657259,0.186354419489274,0.393753375352177,0.214620224341553,0.0220797538012307,0.170460716739091,0.258779731944014,0.987418286013712,0.00189289481237675,0.983632496388959,0.991204075638466
"moderate_ifeval_like","balanced_moderate_few_positive_cross","joint_mixture_factor_gibbs",3,3,1000,500,25,0.0748429144466685,0.0111360884642866,0.0525707375180953,0.0971150913752418,0.313079096912123,0.136878836677786,0.0393214235565498,0.586836770267696,1.38222913060815,0.849461503734766,-0.316693876861384,3.08115213807768,0.791462866595431,0.227760692335023,0.335941481925386,1.24698425126548,0.817037661455067,0.0959301387288103,0.625177383997447,1.00889793891269
"moderate_ifeval_like","balanced_moderate_few_positive_cross","independent_marginal_mixture",3,3,2000,500,25,0.0473906181950794,0.00304943335396858,0.0412917514871422,0.0534894849030166,0.0443730727834255,0.0018352825754539,0.0407025076325177,0.0480436379343334,0.283664653571769,0.0379262643082706,0.207812124955228,0.35951718218831,0.23481528135387,0.0164802127913831,0.201854855771104,0.267775706936636,0.989721248860931,0.00169729148891477,0.986326665883102,0.993115831838761
"moderate_ifeval_like","balanced_moderate_few_positive_cross","joint_mixture_factor_gibbs",3,3,2000,500,25,0.0480032353123071,0.0053748923521354,0.0372534506080363,0.0587530200165779,0.0996202928228588,0.0605085186192917,-0.0213967444157246,0.220637330061442,0.77006825597414,0.38626300953993,-0.0024577631057201,1.542594275054,0.656608460645476,0.0711464003836802,0.514315659878116,0.798901261412837,0.928658701136925,0.0453947948674955,0.837869111401934,1.01944829087192
"moderate_ifeval_like","balanced_moderate_few_positive_cross","independent_marginal_mixture",4,2,100,500,25,0.428562701578459,0.108903964633524,0.21075477231141,0.646370630845507,0.278616699599979,0.0381921744272562,0.202232350745467,0.355001048454491,0.0997226191635514,0.031109481181557,0.0375036568004374,0.161941581526665,0.0769221488190985,0.0141654381567105,0.0485912725056776,0.10525302513252,0.902027284980508,0.0248635472898231,0.852300190400861,0.951754379560154
"moderate_ifeval_like","balanced_moderate_few_positive_cross","joint_mixture_factor_gibbs",4,2,100,500,25,0.381000059544389,0.0692227826012305,0.242554494341928,0.51944562474685,0.987002970013779,0.0502773035016022,0.886448363010574,1.08755757701698,1.90186480746578,0.371574293066527,1.15871622133272,2.64501339359883,1.17350074885745,0.130123515105554,0.913253718646348,1.43374777906856,0.650938884193341,0.0554078222253792,0.540123239742583,0.7617545286441
