"mixture_scenario","n","p","H","G_config","estimated_vs_oracle_signal_rmse_mean","estimated_vs_oracle_signal_rmse_median","estimated_vs_oracle_signal_rmse_sd","estimated_vs_oracle_signal_rmse_se","estimated_vs_oracle_signal_rmse_n_replications","estimated_vs_oracle_alpha_rmse_mean","estimated_vs_oracle_alpha_rmse_median","estimated_vs_oracle_alpha_rmse_sd","estimated_vs_oracle_alpha_rmse_se","estimated_vs_oracle_alpha_rmse_n_replications","estimated_vs_oracle_linear_predictor_rmse_mean","estimated_vs_oracle_linear_predictor_rmse_median","estimated_vs_oracle_linear_predictor_rmse_sd","estimated_vs_oracle_linear_predictor_rmse_se","estimated_vs_oracle_linear_predictor_rmse_n_replications","estimated_vs_oracle_probability_rmse_mean","estimated_vs_oracle_probability_rmse_median","estimated_vs_oracle_probability_rmse_sd","estimated_vs_oracle_probability_rmse_se","estimated_vs_oracle_probability_rmse_n_replications","estimated_vs_oracle_subspace_distance_mean","estimated_vs_oracle_subspace_distance_median","estimated_vs_oracle_subspace_distance_sd","estimated_vs_oracle_subspace_distance_se","estimated_vs_oracle_subspace_distance_n_replications","estimated_vs_full_oracle_z_rmse_mean","estimated_vs_full_oracle_z_rmse_median","estimated_vs_full_oracle_z_rmse_sd","estimated_vs_full_oracle_z_rmse_se","estimated_vs_full_oracle_z_rmse_n_replications","oracle_lowrank_vs_full_oracle_z_rmse_mean","oracle_lowrank_vs_full_oracle_z_rmse_median","oracle_lowrank_vs_full_oracle_z_rmse_sd","oracle_lowrank_vs_full_oracle_z_rmse_se","oracle_lowrank_vs_full_oracle_z_rmse_n_replications"
"moderate_overlap",100,1500,10,"2-2-2-2-2-2-2-2-2-2",0.692752862298873,0.684684917473847,0.0250912927255323,0.00501825854510647,25,0.208816585399054,0.205898239265521,0.00920727305878454,0.00184145461175691,25,0.723553150471753,0.71522237237813,0.0263688969500322,0.00527377939000643,25,0.108189223624205,0.107947424587048,0.00112284952764714,0.000224569905529428,25,0.118572959846082,0.117785461492275,0.00469831597076131,0.000939663194152261,25,1.18347086948309,1.18050497796954,0.0158687601219548,0.00317375202439096,25,0.940123081449255,0.939963674915339,0.00157161712828607,0.000314323425657214,25
"moderate_overlap",100,1500,10,"3-3-3-3-3-3-3-3-3-3",0.748190649734033,0.747573544067268,0.0204895360730482,0.00409790721460964,25,0.229188049192569,0.228282498474416,0.00658749014993083,0.00131749802998617,25,0.782520079579006,0.781235790255468,0.021001556692341,0.00420031133846821,25,0.114550925294596,0.1145129347672,0.000929065881465083,0.000185813176293017,25,0.127147677812544,0.127602730867586,0.00635052692249715,0.00127010538449943,25,1.21997900286595,1.21837081117563,0.0137327791172023,0.00274655582344046,25,0.940120739604502,0.940768985329916,0.0020112775011894,0.000402255500237881,25
"moderate_overlap",100,2000,5,"2-2-2-2-2",0.446503714712485,0.446255264832729,0.0115130656696507,0.00230261313393014,25,0.194235214594827,0.192855436214645,0.00681004326167626,0.00136200865233525,25,0.486939408592781,0.486010506509997,0.0126930294020379,0.00253860588040759,25,0.0753703767623475,0.0754114683580281,0.000425925605934569,8.51851211869138e-05,25,0.0821988202063303,0.0813670709491905,0.00543384837195175,0.00108676967439035,25,1.08313655886201,1.08437956998834,0.00518655045513325,0.00103731009102665,25,0.968571574259923,0.968650764849346,0.00161139684450109,0.000322279368900217,25
"moderate_overlap",100,2000,5,"3-3-3-3-3",0.462895524876611,0.464977721079788,0.0110307371029252,0.00220614742058503,25,0.191445911656813,0.191719296411093,0.00634790490461094,0.00126958098092219,25,0.500939680725181,0.502291559135607,0.0120214414025429,0.00240428828050858,25,0.0803320508040958,0.0806312209340233,0.000858208479992702,0.00017164169599854,25,0.0898377532731041,0.0890101303876053,0.00498346518343333,0.000996693036686667,25,1.08939703074316,1.08971740047142,0.00577547805583601,0.0011550956111672,25,0.968596872394498,0.968419231433043,0.00214560025764855,0.000429120051529711,25
"moderate_overlap",100,2000,10,"2-2-2-2-2-2-2-2-2-2",0.675101441617915,0.676533950091884,0.0190971617596627,0.00381943235193253,25,0.206244290737961,0.206664677267766,0.00540872997242325,0.00108174599448465,25,0.705913007744794,0.70721405377596,0.0194638324472198,0.00389276648944396,25,0.106923556829504,0.107012079275146,0.00110763072969118,0.000221526145938236,25,0.110656661669868,0.111623237515188,0.00485841071473748,0.000971682142947495,25,1.1738283327432,1.17302442985708,0.0116037846921093,0.00232075693842185,25,0.941228680663329,0.941343625777153,0.00155862558502771,0.000311725117005542,25
"moderate_overlap",100,2000,10,"3-3-3-3-3-3-3-3-3-3",0.727830200978402,0.727983399930861,0.0167744918797643,0.00335489837595286,25,0.226827083911731,0.227137685983202,0.00730522983479184,0.00146104596695837,25,0.762367351716682,0.761361394564226,0.0178158535143457,0.00356317070286914,25,0.113423062124458,0.113596267811647,0.000759451813948908,0.000151890362789782,25,0.117578216644534,0.117905142436345,0.00735593442473658,0.00147118688494732,25,1.2080844291291,1.20772097101144,0.0110488870631957,0.00220977741263913,25,0.940884544943493,0.940566682536772,0.00134084951582075,0.000268169903164151,25
"moderate_overlap",200,500,5,"2-2-2-2-2",0.369585499894833,0.367810771583144,0.00692299728350473,0.00138459945670095,25,0.143410842953205,0.143570137560531,0.00533812889938115,0.00106762577987623,25,0.396458185445706,0.395348115511206,0.00752671445260428,0.00150534289052086,25,0.0606947903357819,0.0606064035964863,0.000668833811708868,0.000133766762341774,25,0.124711689036372,0.125305485250259,0.00339230417304949,0.000678460834609899,25,1.05552338990802,1.05570613112125,0.00349160041861853,0.000698320083723705,25,0.97915076667911,0.978608674548938,0.00214291947616546,0.000428583895233092,25
"moderate_overlap",200,500,5,"3-3-3-3-3",0.373058602425778,0.372672064423604,0.0111296281495957,0.00222592562991914,25,0.132419238041175,0.132903885592398,0.00595496003897478,0.00119099200779496,25,0.395886785480482,0.397035616775657,0.0118227135805885,0.00236454271611771,25,0.0641584975771859,0.064338342762086,0.000782494311150962,0.000156498862230192,25,0.133957748406981,0.13341096933449,0.00532647574479286,0.00106529514895857,25,1.05546110559649,1.05635622141917,0.0048997814350811,0.000979956287016219,25,0.979376473955065,0.97861415950486,0.00213972957352332,0.000427945914704665,25
"moderate_overlap",200,500,10,"2-2-2-2-2-2-2-2-2-2",0.547741259848729,0.547612106153586,0.0121009383074014,0.00242018766148027,25,0.14799565863596,0.147613816630541,0.00565841744579134,0.00113168348915827,25,0.567408321600526,0.566709312484654,0.0121754395160561,0.00243508790321122,25,0.0893350133988007,0.0893777912468292,0.000982606066039827,0.000196521213207966,25,0.160314923531568,0.1601129444499,0.00462733060756099,0.000925466121512197,25,1.11446347269683,1.11441253187196,0.00664364534811014,0.00132872906962203,25,0.962095344320968,0.962705867614388,0.00220869185932046,0.000441738371864091,25
"moderate_overlap",200,500,10,"3-3-3-3-3-3-3-3-3-3",0.561182740295456,0.560743040254313,0.00933652237704965,0.00186730447540993,25,0.149828792189295,0.146971421810647,0.00617905953562539,0.00123581190712508,25,0.580862823294438,0.581303995278687,0.0098664445324583,0.00197328890649166,25,0.0923113194428347,0.0924649032872406,0.00066798813982466,0.000133597627964932,25,0.165090894760603,0.165022428076094,0.0033400330234402,0.00066800660468804,25,1.12096457739496,1.12109964709345,0.00507816078001327,0.00101563215600265,25,0.961770384763508,0.962085458648192,0.00209008864165934,0.000418017728331868,25
