"mixture_scenario","n","p","H","G_config","signal_source","rotation_method","stage","factor_score_rmse_mean","factor_score_rmse_median","factor_score_rmse_sd","factor_score_rmse_se","factor_score_rmse_n_replications","mean_factor_abs_cor_mean","mean_factor_abs_cor_median","mean_factor_abs_cor_sd","mean_factor_abs_cor_se","mean_factor_abs_cor_n_replications","lambda_rmse_mean","lambda_rmse_median","lambda_rmse_sd","lambda_rmse_se","lambda_rmse_n_replications","alpha_rmse_mean","alpha_rmse_median","alpha_rmse_sd","alpha_rmse_se","alpha_rmse_n_replications","probability_rmse_mean","probability_rmse_median","probability_rmse_sd","probability_rmse_se","probability_rmse_n_replications","marginal_mu_rmse_mean","marginal_mu_rmse_median","marginal_mu_rmse_sd","marginal_mu_rmse_se","marginal_mu_rmse_n_replications","marginal_var_rmse_mean","marginal_var_rmse_median","marginal_var_rmse_sd","marginal_var_rmse_se","marginal_var_rmse_n_replications","marginal_weight_rmse_mean","marginal_weight_rmse_median","marginal_weight_rmse_sd","marginal_weight_rmse_se","marginal_weight_rmse_n_replications","end_to_end_seconds_mean","end_to_end_seconds_median","end_to_end_seconds_sd","end_to_end_seconds_se","end_to_end_seconds_n_replications","rotation_seconds_mean","rotation_seconds_median","rotation_seconds_sd","rotation_seconds_se","rotation_seconds_n_replications","refinement_seconds_mean","refinement_seconds_median","refinement_seconds_sd","refinement_seconds_se","refinement_seconds_n_replications"
"asymmetric_pi",100,500,5,"2-2-2-2-2","oracle_Z","mixture_identity_start","pretrain",1.2987559476816,1.26286395459288,0.299839019179108,0.0599678038358216,25,0.71583580455604,0.610159894736965,0.221320573711375,0.0442641147422749,25,0.745843276530558,0.745843276530558,0,0,25,0.186622650909651,0.166701600087814,0.0571952813571445,0.0114390562714289,25,0.376442932582228,0.377029106276789,0.00777555901832272,0.00155511180366454,25,0.426329751724923,0.426497251245666,0.128360553837806,0.0256721107675612,25,0.0897922096075322,0.0894205094174353,0.00885151070839414,0.00177030214167883,25,0.203175836576819,0.205130712420108,0.0601901147982705,0.0120380229596541,25,0.284359999999997,0.272999999999968,0.0818122240254963,0.0163624448050993,25,0.278039999999999,0.266999999999996,0.0818934673829251,0.016378693476585,25,0,0,0,0,25
"asymmetric_pi",100,500,5,"2-2-2-2-2","oracle_Z","mixture_identity_start","refined",0.123774887830309,0.123094760893163,0.00518810207568722,0.00103762041513744,25,0.992249463331097,0.992347313050836,0.000653221700739019,0.000130644340147804,25,0.203248879540748,0.20014374862333,0.00962903958050263,0.00192580791610053,25,0.292791606680299,0.27299677050304,0.0529990503961403,0.0105998100792281,25,0.0768114770622002,0.0770082772805907,0.00156378135134062,0.000312756270268124,25,0.114761086030625,0.11433111773688,0.0493182074776275,0.0098636414955255,25,0.0748625502403368,0.0750087293893443,0.00490111057672512,0.000980222115345023,25,0.0464030783131855,0.0481656927840607,0.0185837069592848,0.00371674139185697,25,3.28239999999999,3.22500000000002,0.201610184927903,0.0403220369855806,25,0.278039999999999,0.266999999999996,0.0818934673829251,0.016378693476585,25,2.99804,2.96500000000003,0.181842532611779,0.0363685065223557,25
"asymmetric_pi",100,500,5,"3-3-3-3-3","estimated_Z","fastica_only","pretrain",1.36549459502588,1.39918355698312,0.202604705130883,0.0405209410261766,25,0.363172619783123,0.318569215857443,0.140368357929518,0.0280736715859037,25,0.745827852836448,0.745843276530558,4.29251348706607e-05,8.58502697413214e-06,25,0.277288834646058,0.276490684080005,0.0289778662333534,0.00579557324667068,25,0.369401385510224,0.369045868633437,0.00743061760887226,0.00148612352177445,25,0.478462305380608,0.469646411907225,0.0647840682849801,0.012956813656996,25,0.359706518842598,0.354004490731427,0.0289465440581679,0.00578930881163358,25,0.186762802740887,0.187104160475111,0.0288549645275752,0.00577099290551504,25,0.985559999999969,1.00900000000183,0.0538849700752457,0.0107769940150491,25,0.0590000000000146,0.0579999999990832,0.00660807586703194,0.00132161517340639,25,0,0,0,0,25
"asymmetric_pi",100,500,5,"3-3-3-3-3","estimated_Z","fastica_only","refined",0.307062828510371,0.166341588004643,0.205249340155123,0.0410498680310247,25,0.931954656251748,0.986025492979845,0.0857865143413126,0.0171573028682625,25,0.250916904469704,0.187813391675981,0.109510050982746,0.0219020101965492,25,0.238987069744407,0.234807539592348,0.0260152599675544,0.00520305199351088,25,0.0866465260083947,0.0856818945608509,0.00492955326406743,0.000985910652813485,25,0.349594884688949,0.261806824035548,0.281739754739745,0.056347950947949,25,0.228486390018716,0.1986866075688,0.0830873844067763,0.0166174768813553,25,0.108899533252509,0.0796293824819721,0.0637461476858795,0.0127492295371759,25,13.3549600000001,14.6319999999996,4.85652893433174,0.971305786866348,25,0.0590000000000146,0.0579999999990832,0.00660807586703194,0.00132161517340639,25,12.3694000000001,13.5830000000005,4.8552430509022,0.971048610180439,25
"asymmetric_pi",100,500,5,"3-3-3-3-3","estimated_Z","mixture_fastica_start","pretrain",1.3544356776276,1.39804475273423,0.159777536520999,0.0319555073041997,25,0.279367137655938,0.235593060055635,0.201051066036734,0.0402102132073467,25,0.745803204304418,0.745843276530558,7.22649424292254e-05,1.44529884858451e-05,25,0.277288834646058,0.276490684080005,0.0289778662333534,0.00579557324667068,25,0.369384619443879,0.369045868633437,0.0074282056223338,0.00148564112446676,25,0.280504705874989,0.27815185503474,0.0561516839944691,0.0112303367988938,25,0.222944647156638,0.224029933794578,0.0275256652116515,0.0055051330423303,25,0.0865435228847909,0.0834326598059495,0.0184587832699923,0.00369175665399846,25,1.31531999999985,1.28499999999985,0.09773634601997,0.019547269203994,25,0.388759999999893,0.337999999999738,0.0988000000003355,0.0197600000000671,25,0,0,0,0,25
"asymmetric_pi",100,500,5,"3-3-3-3-3","estimated_Z","mixture_fastica_start","refined",0.167168212955388,0.151682842772405,0.0728678449334358,0.0145735689866872,25,0.983311845790439,0.988379957176001,0.0244858368492349,0.00489716736984699,25,0.184370259375732,0.179321797115878,0.0310238462064518,0.00620476924129036,25,0.23966123056099,0.236050172049188,0.0254145449598727,0.00508290899197455,25,0.083246185163854,0.0835649794772765,0.00178331966807926,0.000356663933615852,25,0.215115714475031,0.194492938085272,0.0714291523602284,0.0142858304720457,25,0.175461617932765,0.173044955519665,0.0336278299735098,0.00672556599470195,25,0.0757518050055404,0.0583895408259614,0.0460081998874302,0.00920163997748604,25,4.51087999999967,4.47200000000157,0.336372353204318,0.0672744706408636,25,0.388759999999893,0.337999999999738,0.0988000000003355,0.0197600000000671,25,3.19555999999982,3.16400000000067,0.310444852858917,0.0620889705717835,25
"asymmetric_pi",100,500,5,"3-3-3-3-3","estimated_Z","mixture_identity_start","pretrain",1.4106240632274,1.39127299163604,0.258378642633737,0.0516757285267473,25,0.753814027138557,0.61105228194867,0.212015329341046,0.0424030658682092,25,0.745796666172091,0.745843276530558,7.57840876219885e-05,1.51568175243977e-05,25,0.277288834646058,0.276490684080005,0.0289778662333534,0.00579557324667068,25,0.369379946159061,0.369045868633437,0.00743352115195261,0.00148670423039052,25,0.267856637889432,0.267001681355959,0.0618996096776507,0.0123799219355301,25,0.217208596532778,0.213677413320153,0.0265067395524355,0.0053013479104871,25,0.0809392160060047,0.0793464279702148,0.0221050832650217,0.00442101665300433,25,1.3433600000001,1.29700000000048,0.146399817850824,0.0292799635701648,25,0.416800000000148,0.338999999999942,0.145730058670304,0.0291460117340607,25,0,0,0,0,25
"asymmetric_pi",100,500,5,"3-3-3-3-3","estimated_Z","mixture_identity_start","refined",0.152431494117427,0.15169178902786,0.00707327735142861,0.00141465547028572,25,0.988240711918555,0.988378586435115,0.0011093779084517,0.00022187558169034,25,0.178162032256767,0.178001131962945,0.00661944055787536,0.00132388811157507,25,0.239830564738735,0.236072792890215,0.025541282487212,0.0051082564974424,25,0.0831438177727248,0.0835654657626153,0.0017209133673424,0.00034418267346848,25,0.199906660322265,0.184177550017404,0.0653559466771178,0.0130711893354236,25,0.167150911802739,0.16525007832832,0.0299009605284314,0.00598019210568628,25,0.0607725788950006,0.0544317864155064,0.0207547879154028,0.00415095758308056,25,4.53587999999996,4.46499999999833,0.433321793436966,0.0866643586873933,25,0.416800000000148,0.338999999999942,0.145730058670304,0.0291460117340607,25,3.19251999999986,3.14799999999923,0.381844767761641,0.0763689535523281,25
"asymmetric_pi",100,500,5,"3-3-3-3-3","oracle_Z","fastica_only","pretrain",1.36303802290966,1.38564002459519,0.124952715479374,0.0249905430958748,25,0.30565271389533,0.28515581768954,0.166848917653138,0.0333697835306276,25,0.745843276530558,0.745843276530558,0,0,25,0.184474156882926,0.189607258455687,0.0410749049602454,0.00821498099204909,25,0.363735370021489,0.363551813578572,0.00757860273079628,0.00151572054615926,25,0.437060101371921,0.439393242984779,0.0417536757541617,0.00835073515083234,25,0.340410360203752,0.342575751129169,0.0326453473271232,0.00652906946542464,25,0.173002666669723,0.168266031250517,0.03090453315043,0.00618090663008601,25,0.0647599999998783,0.0609999999996944,0.0094352177153534,0.00188704354307068,25,0.0584399999999732,0.0540000000000873,0.00934112769779273,0.00186822553955855,25,0,0,0,0,25
"asymmetric_pi",100,500,5,"3-3-3-3-3","oracle_Z","fastica_only","refined",0.349269653256381,0.415097894129809,0.186103066994331,0.0372206133988661,25,0.921596834258212,0.912976635499494,0.0719317615328783,0.0143863523065757,25,0.27786499049153,0.284054827540929,0.102705083263224,0.0205410166526448,25,0.237965936658244,0.231767450025262,0.0255399672705123,0.00510799345410246,25,0.0871518828051259,0.0865589515635396,0.00423183386516298,0.000846366773032595,25,0.332752205336722,0.300822330139286,0.189249736518139,0.0378499473036278,25,0.243001190983847,0.265795728665435,0.0646573277165,0.0129314655433,25,0.109022930498662,0.0995596590175204,0.0517365257616848,0.010347305152337,25,11.0721599999999,9.02900000000045,5.00609425833533,1.00121885166707,25,0.0584399999999732,0.0540000000000873,0.00934112769779273,0.00186822553955855,25,11.0074,8.96900000000096,5.00290620539703,1.00058124107941,25
