"mixture_scenario","n","p","H","G_config","estimated_z_largest_eigengap_selects_true_H_mean","estimated_z_largest_eigengap_selects_true_H_median","estimated_z_largest_eigengap_selects_true_H_sd","estimated_z_largest_eigengap_selects_true_H_se","estimated_z_largest_eigengap_selects_true_H_n_replications","estimated_z_largest_relative_eigengap_selects_true_H_mean","estimated_z_largest_relative_eigengap_selects_true_H_median","estimated_z_largest_relative_eigengap_selects_true_H_sd","estimated_z_largest_relative_eigengap_selects_true_H_se","estimated_z_largest_relative_eigengap_selects_true_H_n_replications","estimated_z_largest_sv_ratio_selects_true_H_mean","estimated_z_largest_sv_ratio_selects_true_H_median","estimated_z_largest_sv_ratio_selects_true_H_sd","estimated_z_largest_sv_ratio_selects_true_H_se","estimated_z_largest_sv_ratio_selects_true_H_n_replications","estimated_z_eigengap_at_true_H_mean","estimated_z_eigengap_at_true_H_median","estimated_z_eigengap_at_true_H_sd","estimated_z_eigengap_at_true_H_se","estimated_z_eigengap_at_true_H_n_replications","estimated_z_relative_eigengap_at_true_H_mean","estimated_z_relative_eigengap_at_true_H_median","estimated_z_relative_eigengap_at_true_H_sd","estimated_z_relative_eigengap_at_true_H_se","estimated_z_relative_eigengap_at_true_H_n_replications","estimated_z_sv_ratio_at_true_H_mean","estimated_z_sv_ratio_at_true_H_median","estimated_z_sv_ratio_at_true_H_sd","estimated_z_sv_ratio_at_true_H_se","estimated_z_sv_ratio_at_true_H_n_replications","eigengap_diagnostic_seconds_mean","eigengap_diagnostic_seconds_median","eigengap_diagnostic_seconds_sd","eigengap_diagnostic_seconds_se","eigengap_diagnostic_seconds_n_replications"
"asymmetric_pi",400,2000,5,"2-2-2-2-2",0,0,0,0,25,1,1,0,0,25,1,1,0,0,25,0.329336629450924,0.331225404591674,0.0131574697660208,0.00263149395320415,25,0.939416196122907,0.94047522380321,0.0041341935160885,0.0008268387032177,25,4.06928314530447,4.09874702447574,0.133436168444253,0.0266872336888506,25,41.8150400000001,41.5220000000008,0.7165976020985,0.1433195204197,25
"asymmetric_pi",400,2000,5,"3-3-3-3-3",0,0,0,0,25,1,1,0,0,25,1,1,0,0,25,0.291964473354854,0.292594196843231,0.0171440666223942,0.00342881332447884,25,0.900085313889145,0.901568964388573,0.0206503027253726,0.00413006054507451,25,3.21714522674845,3.18738095089695,0.359706099755128,0.0719412199510255,25,42.1574000000002,42.3079999999973,0.740743939113778,0.148148787822756,25
"asymmetric_pi",400,2000,10,"2-2-2-2-2-2-2-2-2-2",0,0,0,0,25,1,1,0,0,25,1,1,0,0,25,0.18170197004744,0.179838672477398,0.009005308995817,0.0018010617991634,25,0.899948220111154,0.899576777563001,0.0048830699376548,0.000976613987530961,25,3.1641907307525,3.15560709193362,0.0777070851714316,0.0155414170342863,25,41.1368799999997,41.099000000002,0.251666830020635,0.0503333660041269,25
"asymmetric_pi",400,2000,10,"3-3-3-3-3-3-3-3-3-3",0,0,0,0,25,1,1,0,0,25,1,1,0,0,25,0.17604783611416,0.176652092152149,0.00912977993805202,0.0018259559876104,25,0.897626090460302,0.898398863230708,0.00565022170844459,0.00113004434168892,25,3.12869693344256,3.13726147484172,0.0834361066746315,0.0166872213349263,25,40.6039200000011,40.5720000000001,0.191536967712191,0.0383073935424382,25
"moderate_overlap",100,500,5,"2-2-2-2-2",0,0,0,0,25,1,1,0,0,25,1,1,0,0,25,0.535250623969356,0.542167357117396,0.0502699478874949,0.010053989577499,25,0.741556640958438,0.743250383176826,0.0184626459267512,0.00369252918535024,25,1.97046669485689,1.97353620453024,0.066829368107688,0.0133658736215376,25,0.984360000000003,0.98599999999999,0.00785748051222547,0.00157149610244509,25
"moderate_overlap",100,500,5,"3-3-3-3-3",0.08,0,0.276887462097269,0.0553774924194538,25,1,1,0,0,25,1,1,0,0,25,0.492041325587245,0.48282628116115,0.0600804546090137,0.0120160909218027,25,0.716368282114995,0.71799171664219,0.0299394833567756,0.00598789667135512,25,1.88520564057641,1.88308128664291,0.0991335035367246,0.0198267007073449,25,0.977759999999907,0.975000000000364,0.0132107279639517,0.00264214559279035,25
"moderate_overlap",100,500,10,"2-2-2-2-2-2-2-2-2-2",0.04,0,0.2,0.04,25,1,1,0,0,25,1,1,0,0,25,0.215612463997232,0.210905243431379,0.0277843112206713,0.00555686224413426,25,0.572967009928246,0.571792156775625,0.0328187516492211,0.00656375032984422,25,1.53357577539419,1.52817359430772,0.0597229618849369,0.0119445923769874,25,0.987520000000077,0.987999999997555,0.0142510818302011,0.00285021636604022,25
"moderate_overlap",100,500,10,"3-3-3-3-3-3-3-3-3-3",0.12,0,0.33166247903554,0.066332495807108,25,1,1,0,0,25,1,1,0,0,25,0.215865487296569,0.213489010690845,0.0271382834323477,0.00542765668646953,25,0.577877678832123,0.577444745852917,0.0319178437456501,0.00638356874913002,25,1.54240169362786,1.53836094906125,0.059678264594343,0.0119356529188686,25,1.09547999999922,0.985999999997148,0.203574949343066,0.0407149898686133,25
"moderate_overlap",100,1000,5,"2-2-2-2-2",0,0,0,0,25,1,1,0,0,25,1,1,0,0,25,0.433553350590266,0.437208352730956,0.0379785529448205,0.0075957105889641,25,0.733853383034753,0.737003113864552,0.0220759968943937,0.00441519937887875,25,1.94301104368627,1.94995548348266,0.0779959003018149,0.015599180060363,25,1.76900000000001,1.76300000000003,0.0151904575309514,0.00303809150619029,25
"moderate_overlap",100,1000,5,"3-3-3-3-3",0,0,0,0,25,1,1,0,0,25,1,1,0,0,25,0.388452666470238,0.394293734692889,0.0376507500459433,0.00753015000918866,25,0.687391172950735,0.690762660085704,0.0290049399186243,0.00580098798372487,25,1.79395724651938,1.79826642443331,0.0814768022261373,0.0162953604452275,25,1.76011999999995,1.75600000000122,0.012735514647442,0.0025471029294884,25
