"mixture_scenario","signal_source","stage","comparison_method","H","G_config","factor_score_rmse_difference_vs_fastica_mean","factor_score_rmse_difference_vs_fastica_median","factor_score_rmse_difference_vs_fastica_sd","factor_score_rmse_difference_vs_fastica_se","factor_score_rmse_difference_vs_fastica_n_replications","lambda_rmse_difference_vs_fastica_mean","lambda_rmse_difference_vs_fastica_median","lambda_rmse_difference_vs_fastica_sd","lambda_rmse_difference_vs_fastica_se","lambda_rmse_difference_vs_fastica_n_replications","alpha_rmse_difference_vs_fastica_mean","alpha_rmse_difference_vs_fastica_median","alpha_rmse_difference_vs_fastica_sd","alpha_rmse_difference_vs_fastica_se","alpha_rmse_difference_vs_fastica_n_replications","probability_rmse_difference_vs_fastica_mean","probability_rmse_difference_vs_fastica_median","probability_rmse_difference_vs_fastica_sd","probability_rmse_difference_vs_fastica_se","probability_rmse_difference_vs_fastica_n_replications","marginal_mu_rmse_difference_vs_fastica_mean","marginal_mu_rmse_difference_vs_fastica_median","marginal_mu_rmse_difference_vs_fastica_sd","marginal_mu_rmse_difference_vs_fastica_se","marginal_mu_rmse_difference_vs_fastica_n_replications","marginal_var_rmse_difference_vs_fastica_mean","marginal_var_rmse_difference_vs_fastica_median","marginal_var_rmse_difference_vs_fastica_sd","marginal_var_rmse_difference_vs_fastica_se","marginal_var_rmse_difference_vs_fastica_n_replications","marginal_weight_rmse_difference_vs_fastica_mean","marginal_weight_rmse_difference_vs_fastica_median","marginal_weight_rmse_difference_vs_fastica_sd","marginal_weight_rmse_difference_vs_fastica_se","marginal_weight_rmse_difference_vs_fastica_n_replications","end_to_end_seconds_difference_vs_fastica_mean","end_to_end_seconds_difference_vs_fastica_median","end_to_end_seconds_difference_vs_fastica_sd","end_to_end_seconds_difference_vs_fastica_se","end_to_end_seconds_difference_vs_fastica_n_replications"
"moderate_overlap","estimated_Z","refined","mixture_fastica_start",10,"2-2-2-2-2-2-2-2-2-2",-0.00359987939122932,0.000113379856783002,0.0262687381936073,0.0015166263067351,300,-0.00130578999502195,-0.000247445064359891,0.00744158476957584,0.000429640096991203,300,-4.95855395939465e-05,-5.69986511164966e-05,0.000374380792808131,2.161488515072e-05,300,-0.00011061288717087,-5.53204709641472e-05,0.000380587539510895,2.19732318386832e-05,300,-0.00918821791303799,3.29921024802525e-05,0.0771718754930357,0.00445552030897724,300,-0.00489777112042019,0.000661739926650498,0.0351854642611164,0.00203143372627175,300,-0.0013715785857706,-4.1114149699345e-08,0.010966292127551,0.000633139171185363,300,-0.961473333333708,0.606999999992726,56.5590513069756,3.26543834971922,300
"moderate_overlap","oracle_Z","pretrain","mixture_fastica_start",10,"2-2-2-2-2-2-2-2-2-2",0.00119081028198604,-0.000177425938215015,0.0991197566950113,0.0057226818209875,300,0,0,0,0,300,0,0,0,0,300,0,0,0,0,300,-0.0064763233637379,0.00015553244416935,0.0352443993972193,0.00203483634794112,300,-0.00373384397272689,0.00226851119649615,0.0367062009399863,0.00211923349936296,300,-0.00136323608211222,1.22981103680506e-05,0.0106597161134886,0.000615438996760763,300,0.822230000000079,0.785500000001775,0.386606024043109,0.022320709205162,300
"moderate_overlap","oracle_Z","refined","mixture_fastica_start",10,"2-2-2-2-2-2-2-2-2-2",-0.000536281263593613,-1.19780555084964e-05,0.0139891309113712,0.000807662849740907,300,-0.000639254895044877,-0.000273153327547945,0.00370323574606233,0.000213806415486173,300,-0.000115999623357083,-6.18340543560025e-05,0.000368346807194034,2.12665128288614e-05,300,-9.8160540035876e-05,-7.02469558485526e-05,0.000206040506914978,1.18957542131329e-05,300,-0.000771827788417289,2.5119518735954e-05,0.0114530606145803,0.000661242762887303,300,-0.000260725700076039,0.00069442422174155,0.0163263426251756,0.00094260183095272,300,-0.000121000911452947,4.32217814993335e-08,0.0019717414806089,0.00011383854746019,300,0.125609999999877,0.674500000008235,11.0487074307747,0.637897420935521,300
"moderate_overlap","estimated_Z","pretrain","mixture_fastica_start",10,"3-3-3-3-3-3-3-3-3-3",-0.040887493593362,-0.01324595163263,0.140877597797958,0.0081335719011439,300,-2.75531293059498e-05,0,7.52802774696015e-05,4.34630884617442e-06,300,0,0,0,0,300,-2.80736945229064e-05,0,7.7260772934858e-05,4.46065280517388e-06,300,-0.0704405008643952,-0.039342733260197,0.0813252314583719,0.00469531442743996,300,-0.0374819900325943,-0.0231492778048255,0.0442576205460339,0.0025552149135945,300,-0.0331726204312337,-0.024897474642448,0.0342877539880238,0.00197960439948932,300,1.46478999999951,1.20149999999557,0.725009998247627,0.0418584717653438,300
"moderate_overlap","estimated_Z","refined","mixture_fastica_start",10,"3-3-3-3-3-3-3-3-3-3",-0.0900036745151841,-0.009362625025878,0.144367131247265,0.00833504020877423,300,-0.0283985442378255,-0.0027608885403634,0.0528733555537814,0.00305264460619345,300,6.19460749324091e-05,-0.000138529973409005,0.00381774711496866,0.000220417732452507,300,-0.00199435846402529,-0.000650368695833951,0.00349680487499622,0.000201888123588266,300,-0.153309732899676,-0.00541309203357675,0.290923940906235,0.0167965015595922,300,-0.0165507363547761,-0.00318314586559839,0.040824678909667,0.00235701393580763,300,-0.00908953738911573,-0.00214487837697979,0.0211918970571572,0.00122351474705886,300,-16.9877133333337,-4.49099999999455,121.234925078848,6.99950166294572,300
"moderate_overlap","oracle_Z","pretrain","mixture_fastica_start",10,"3-3-3-3-3-3-3-3-3-3",-0.00803103576567333,-0.00102202916056504,0.0974970633425604,0.00562899557660253,300,5.74719453737176e-07,0,5.88461134677878e-06,3.39748194513905e-07,300,0,0,0,0,300,5.34045137569789e-07,0,5.99500715000678e-06,3.46121899185015e-07,300,-0.0550749847983946,-0.032545980060015,0.0690342409581853,0.00398569376005098,300,-0.0294661245238499,-0.0192150041469564,0.0366759362646779,0.00211748616751933,300,-0.0338867259597776,-0.0258712576704399,0.0353210779759573,0.00203926338774867,300,1.62173000000005,1.30400000000373,0.791005251643217,0.0456687094966619,300
"moderate_overlap","oracle_Z","refined","mixture_fastica_start",10,"3-3-3-3-3-3-3-3-3-3",-0.0738109989291029,-0.0076693572406891,0.119961890011297,0.00692600294905187,300,-0.0226374773200671,-0.00233154895000845,0.0420128396365587,0.00242561242735878,300,-0.000226901450268333,-0.000145829499573494,0.00332709325555753,0.000192089818671513,300,-0.00170656474418674,-0.000641620055408399,0.00280759262880314,0.00016209643600143,300,-0.136206409098494,-0.004563290981068,0.267943119834851,0.015469703236416,300,-0.0110240296061861,-0.0030342852137261,0.023558491893674,0.00136015016365143,300,-0.00928136149470851,-0.002053734628968,0.021123425952799,0.00121956156600556,300,-8.32710000000005,-2.79900000000635,12.9659707411701,0.748590669771938,300
"moderate_overlap","estimated_Z","pretrain","mixture_fastica_start",5,"2-2-2-2-2",0.00234241132063105,-0.00107867166951991,0.203555429363264,0.0117522781937891,300,0,0,0,0,300,0,0,0,0,300,0,0,0,0,300,-0.00381266359487876,8.11090056535985e-05,0.0325578949076092,0.00187973093891557,300,-0.00269275856598407,0.0011074998253658,0.0353045454191894,0.00203830888013863,300,-0.00091179911837659,6.70719801259927e-06,0.00960118090611161,0.000554324438068183,300,0.332073333333383,0.303499999999985,0.124435345217404,0.00718427800579723,300
"moderate_overlap","estimated_Z","refined","mixture_fastica_start",5,"2-2-2-2-2",-0.00262621058429402,0.000166714003383452,0.0450854718966677,0.00260301093360824,300,-0.00287363951374914,-0.000127731286224501,0.0237400213775691,0.0013706307732907,300,0.000189783256987254,-2.12227146585003e-05,0.00223442025037114,0.000129004313303453,300,-1.61410574394126e-05,-2.18491052174016e-05,0.000645024464558017,3.72405048246465e-05,300,-0.00467317890995249,2.08876506706465e-05,0.0380709271021606,0.0021980260010731,300,-0.00407786344125325,0.000333976609496599,0.0409730032167542,0.00236557744367004,300,-0.00157951538172428,-1.33676726249074e-07,0.0128055483804481,0.000739328680457246,300,0.181120000000011,0.337999999999961,0.708473396899069,0.0409037306413366,300
"moderate_overlap","oracle_Z","pretrain","mixture_fastica_start",5,"2-2-2-2-2",0.00498763610318944,0.00190387215158505,0.199981186316207,0.0115459191752523,300,0,0,0,0,300,0,0,0,0,300,0,0,0,0,300,-0.00140084580376621,4.09855138437491e-05,0.0202906878494451,0.00117148340919198,300,0.000958017233935314,0.00116803567786785,0.0154710653495982,0.000893222374424082,300,-0.000575131382588851,2.94247416145026e-06,0.00865586538848927,0.000499746621211345,300,0.341160000000004,0.308499999999868,0.129431537151365,0.00747273328159679,300
