"mixture_scenario","signal_source","stage","H","G_config","rotation_method","mean_factor_score_rmse","best_factor_method"
"moderate_overlap","estimated_Z","refined",5,"3-3-3-3-3","mixture_identity_start",0.128876878621042,FALSE
"separated","estimated_Z","refined",5,"3-3-3-3-3","fastica_only",0.124102954782942,FALSE
"separated","estimated_Z","refined",5,"3-3-3-3-3","mixture_fastica_start",0.116723824105665,TRUE
"separated","estimated_Z","refined",5,"3-3-3-3-3","mixture_identity_start",0.11826003401536,FALSE
"asymmetric_pi","oracle_Z","refined",5,"3-3-3-3-3","fastica_only",0.21159028041237,FALSE
"asymmetric_pi","oracle_Z","refined",5,"3-3-3-3-3","mixture_fastica_start",0.114427794365474,FALSE
"asymmetric_pi","oracle_Z","refined",5,"3-3-3-3-3","mixture_identity_start",0.114165882011103,TRUE
"moderate_overlap","oracle_Z","refined",5,"3-3-3-3-3","fastica_only",0.134481740726788,FALSE
"moderate_overlap","oracle_Z","refined",5,"3-3-3-3-3","mixture_fastica_start",0.112726906031202,TRUE
"moderate_overlap","oracle_Z","refined",5,"3-3-3-3-3","mixture_identity_start",0.115114611883371,FALSE
"separated","oracle_Z","refined",5,"3-3-3-3-3","fastica_only",0.11359335902716,FALSE
"separated","oracle_Z","refined",5,"3-3-3-3-3","mixture_fastica_start",0.105927630529644,TRUE
"separated","oracle_Z","refined",5,"3-3-3-3-3","mixture_identity_start",0.108465952026382,FALSE
"asymmetric_pi","estimated_Z","pretrain",10,"3-3-3-3-3-3-3-3-3-3","fastica_only",1.39896480012559,FALSE
"asymmetric_pi","estimated_Z","pretrain",10,"3-3-3-3-3-3-3-3-3-3","mixture_fastica_start",1.36623619402183,FALSE
"asymmetric_pi","estimated_Z","pretrain",10,"3-3-3-3-3-3-3-3-3-3","mixture_identity_start",1.35597057582044,TRUE
"moderate_overlap","estimated_Z","pretrain",10,"3-3-3-3-3-3-3-3-3-3","fastica_only",1.39815016448439,FALSE
"moderate_overlap","estimated_Z","pretrain",10,"3-3-3-3-3-3-3-3-3-3","mixture_fastica_start",1.35726267089102,FALSE
"moderate_overlap","estimated_Z","pretrain",10,"3-3-3-3-3-3-3-3-3-3","mixture_identity_start",1.34654544453152,TRUE
"separated","estimated_Z","pretrain",10,"3-3-3-3-3-3-3-3-3-3","fastica_only",1.40477676705063,FALSE
"separated","estimated_Z","pretrain",10,"3-3-3-3-3-3-3-3-3-3","mixture_fastica_start",1.38133256145244,FALSE
"separated","estimated_Z","pretrain",10,"3-3-3-3-3-3-3-3-3-3","mixture_identity_start",1.37464853689264,TRUE
"asymmetric_pi","oracle_Z","pretrain",10,"3-3-3-3-3-3-3-3-3-3","fastica_only",1.41098210434288,FALSE
"asymmetric_pi","oracle_Z","pretrain",10,"3-3-3-3-3-3-3-3-3-3","mixture_fastica_start",1.40766537682638,FALSE
"asymmetric_pi","oracle_Z","pretrain",10,"3-3-3-3-3-3-3-3-3-3","mixture_identity_start",1.40565224371576,TRUE
"moderate_overlap","oracle_Z","pretrain",10,"3-3-3-3-3-3-3-3-3-3","fastica_only",1.41039531727947,FALSE
"moderate_overlap","oracle_Z","pretrain",10,"3-3-3-3-3-3-3-3-3-3","mixture_fastica_start",1.4023642815138,TRUE
"moderate_overlap","oracle_Z","pretrain",10,"3-3-3-3-3-3-3-3-3-3","mixture_identity_start",1.40249390408898,FALSE
"separated","oracle_Z","pretrain",10,"3-3-3-3-3-3-3-3-3-3","fastica_only",1.40676383065597,FALSE
"separated","oracle_Z","pretrain",10,"3-3-3-3-3-3-3-3-3-3","mixture_fastica_start",1.40795524774935,FALSE
"separated","oracle_Z","pretrain",10,"3-3-3-3-3-3-3-3-3-3","mixture_identity_start",1.39834053203846,TRUE
"asymmetric_pi","estimated_Z","refined",10,"3-3-3-3-3-3-3-3-3-3","fastica_only",0.304543272389221,FALSE
"asymmetric_pi","estimated_Z","refined",10,"3-3-3-3-3-3-3-3-3-3","mixture_fastica_start",0.137024747340189,TRUE
"asymmetric_pi","estimated_Z","refined",10,"3-3-3-3-3-3-3-3-3-3","mixture_identity_start",0.145510202949423,FALSE
"moderate_overlap","estimated_Z","refined",10,"3-3-3-3-3-3-3-3-3-3","fastica_only",0.232737651666612,FALSE
"moderate_overlap","estimated_Z","refined",10,"3-3-3-3-3-3-3-3-3-3","mixture_fastica_start",0.142733977151428,TRUE
"moderate_overlap","estimated_Z","refined",10,"3-3-3-3-3-3-3-3-3-3","mixture_identity_start",0.148041417748617,FALSE
"separated","estimated_Z","refined",10,"3-3-3-3-3-3-3-3-3-3","fastica_only",0.191939224221528,FALSE
"separated","estimated_Z","refined",10,"3-3-3-3-3-3-3-3-3-3","mixture_fastica_start",0.131236256746686,TRUE
"separated","estimated_Z","refined",10,"3-3-3-3-3-3-3-3-3-3","mixture_identity_start",0.134526093740785,FALSE
"asymmetric_pi","oracle_Z","refined",10,"3-3-3-3-3-3-3-3-3-3","fastica_only",0.292160910686187,FALSE
"asymmetric_pi","oracle_Z","refined",10,"3-3-3-3-3-3-3-3-3-3","mixture_fastica_start",0.140151033293018,TRUE
"asymmetric_pi","oracle_Z","refined",10,"3-3-3-3-3-3-3-3-3-3","mixture_identity_start",0.14229221311567,FALSE
"moderate_overlap","oracle_Z","refined",10,"3-3-3-3-3-3-3-3-3-3","fastica_only",0.213617932803142,FALSE
"moderate_overlap","oracle_Z","refined",10,"3-3-3-3-3-3-3-3-3-3","mixture_fastica_start",0.139806933874039,TRUE
"moderate_overlap","oracle_Z","refined",10,"3-3-3-3-3-3-3-3-3-3","mixture_identity_start",0.143882254431005,FALSE
"separated","oracle_Z","refined",10,"3-3-3-3-3-3-3-3-3-3","fastica_only",0.173679400736134,FALSE
"separated","oracle_Z","refined",10,"3-3-3-3-3-3-3-3-3-3","mixture_fastica_start",0.128140775200552,TRUE
"separated","oracle_Z","refined",10,"3-3-3-3-3-3-3-3-3-3","mixture_identity_start",0.13331129205536,FALSE
